=== v11eval gen rows 1623-3245 (1623 clips) ===
[gen] fold5_room9_mix0029 walk tier=na siren noise=55.1dBA peak=0.558 (3s)
[gen] fold5_room9_mix0030 walk tier=na siren noise=56.8dBA peak=0.866 (3s)
[gen] fold5_room9_mix0031 walk tier=na siren noise=47.0dBA peak=0.102 (3s)
[gen] fold5_room9_mix0032 walk tier=na siren noise=45.7dBA peak=0.053 (3s)
[gen] fold5_room9_mix0033 walk tier=na siren noise=43.4dBA peak=0.162 (2s)
[gen] fold5_room9_mix0034 walk tier=na siren noise=56.6dBA peak=0.659 (3s)
[gen] fold5_room9_mix0035 walk tier=na siren noise=55.1dBA peak=0.836 (2s)
[gen] fold5_room9_mix0036 walk tier=na siren noise=50.4dBA peak=0.034 (3s)
[gen] fold5_room9_mix0037 walk tier=na siren noise=64.1dBA peak=0.113 (3s)
[gen] fold5_room9_mix0038 walk tier=na siren noise=56.8dBA peak=0.116 (3s)
[gen] fold5_room9_mix0039 walk tier=na siren noise=42.7dBA peak=0.488 (3s)
[gen] fold5_room9_mix0040 walk tier=na siren noise=53.2dBA peak=0.109 (4s)
[gen] fold5_room9_mix0041 walk tier=na siren noise=41.2dBA peak=0.063 (3s)
[gen] fold5_room9_mix0042 walk tier=na siren noise=48.9dBA peak=0.881 (3s)
[gen] fold5_room9_mix0043 walk tier=na siren noise=50.7dBA peak=0.052 (3s)
[gen] fold5_room9_mix0044 walk tier=na siren noise=42.5dBA peak=0.684 (4s)
[gen] fold5_room9_mix0045 walk tier=na siren noise=54.6dBA peak=0.334 (3s)
[gen] fold5_room9_mix0046 walk tier=na siren noise=45.0dBA peak=0.107 (4s)
[gen] fold5_room9_mix0047 walk tier=na siren noise=50.3dBA peak=0.036 (3s)
[gen] fold5_room9_mix0048 walk tier=na siren noise=52.6dBA peak=0.028 (3s)
[1623-3245] 225/1623 620s elapsed, 2.75s/clip
[gen] fold5_room9_mix0049 walk tier=na siren noise=59.5dBA peak=0.187 (3s)
[gen] fold5_room9_mix0050 walk tier=na siren noise=60.8dBA peak=0.043 (3s)
[gen] fold5_room9_mix0051 walk tier=na siren noise=40.3dBA peak=0.152 (3s)
[gen] fold5_room9_mix0052 walk tier=na siren noise=55.9dBA peak=0.040 (2s)
[gen] fold5_room9_mix0053 walk tier=na siren noise=53.3dBA peak=0.069 (3s)
[gen] fold5_room9_mix0054 walk tier=na siren noise=60.1dBA peak=0.252 (2s)
[gen] fold5_room9_mix0055 walk tier=na siren noise=64.1dBA peak=0.064 (3s)
[gen] fold5_room9_mix0056 walk tier=na siren noise=50.8dBA peak=0.703 (3s)
[gen] fold5_room9_mix0057 walk tier=na siren noise=45.8dBA peak=0.809 (3s)
[gen] fold5_room9_mix0058 walk tier=na siren noise=55.6dBA peak=0.419 (3s)
[gen] fold5_room9_mix0059 walk tier=na siren noise=49.7dBA peak=0.473 (3s)
[gen] fold5_room9_mix0060 walk tier=na siren noise=44.1dBA peak=0.067 (2s)
[gen] fold5_room9_mix0061 walk tier=na siren noise=41.7dBA peak=0.201 (3s)
[gen] fold5_room9_mix0062 walk tier=na siren noise=50.6dBA peak=0.508 (3s)
[gen] fold5_room9_mix0063 walk tier=na siren noise=40.9dBA peak=0.042 (2s)
[gen] fold5_room9_mix0064 walk tier=na siren noise=54.8dBA peak=0.053 (3s)
[gen] fold5_room9_mix0065 walk tier=na siren noise=55.3dBA peak=0.894 (2s)
[gen] fold5_room9_mix0066 walk tier=na siren noise=56.6dBA peak=0.374 (3s)
[gen] fold5_room9_mix0067 walk tier=na siren noise=49.3dBA peak=0.035 (2s)
[gen] fold5_room9_mix0068 walk tier=na siren noise=64.9dBA peak=0.629 (3s)
[gen] fold5_room9_mix0069 walk tier=na siren noise=54.8dBA peak=0.185 (2s)
[gen] fold5_room9_mix0070 walk tier=na siren noise=64.2dBA peak=0.114 (3s)
[gen] fold5_room9_mix0071 walk tier=na siren noise=40.8dBA peak=0.125 (3s)
[gen] fold5_room9_mix0072 walk tier=na siren noise=53.3dBA peak=0.185 (2s)
[gen] fold5_room9_mix0073 walk tier=na siren noise=56.3dBA peak=0.258 (3s)
[1623-3245] 250/1623 688s elapsed, 2.75s/clip
[gen] fold5_room9_mix0074 walk tier=na siren noise=57.3dBA peak=0.874 (3s)
[gen] fold5_room9_mix0075 walk tier=na siren noise=41.9dBA peak=0.493 (3s)
[gen] fold5_room9_mix0076 walk tier=na siren noise=56.6dBA peak=0.212 (2s)
[gen] fold5_room9_mix0077 walk tier=na siren noise=48.1dBA peak=0.452 (3s)
[gen] fold5_room9_mix0078 walk tier=na siren noise=43.2dBA peak=0.036 (2s)
[gen] fold5_room9_mix0079 walk tier=na siren noise=47.4dBA peak=0.420 (3s)
[gen] fold5_room9_mix0080 walk tier=na siren noise=53.0dBA peak=0.242 (3s)
[gen] fold5_room9_mix0081 walk tier=na siren noise=63.7dBA peak=0.024 (2s)
[gen] fold5_room9_mix0082 walk tier=na siren noise=53.7dBA peak=0.033 (3s)
[gen] fold5_room9_mix0083 walk tier=na siren noise=50.4dBA peak=0.687 (2s)
[gen] fold5_room9_mix0084 walk tier=na siren noise=46.1dBA peak=0.061 (3s)
[gen] fold5_room9_mix0085 walk tier=na siren noise=40.6dBA peak=0.175 (3s)
[gen] fold5_room9_mix0086 walk tier=na siren noise=61.8dBA peak=0.221 (4s)
[gen] fold5_room9_mix0087 walk tier=na siren noise=47.5dBA peak=0.054 (3s)
[gen] fold5_room9_mix0088 walk tier=na siren noise=64.6dBA peak=0.177 (3s)
[gen] fold5_room9_mix0089 walk tier=na siren noise=44.3dBA peak=0.037 (2s)
[gen] fold5_room9_mix0090 walk tier=na siren noise=42.6dBA peak=0.437 (3s)
[gen] fold5_room9_mix0091 walk tier=na siren noise=53.0dBA peak=0.247 (2s)
[gen] fold5_room9_mix0092 walk tier=na siren noise=53.8dBA peak=0.453 (3s)
[gen] fold5_room9_mix0093 walk tier=na siren noise=58.3dBA peak=0.025 (3s)
[gen] fold5_room9_mix0094 walk tier=na siren noise=64.1dBA peak=0.151 (3s)
[gen] fold5_room9_mix0095 walk tier=na siren noise=59.0dBA peak=0.413 (3s)
[gen] fold5_room9_mix0096 walk tier=na siren noise=55.1dBA peak=0.207 (2s)
[gen] fold5_room9_mix0097 walk tier=na siren noise=57.1dBA peak=0.165 (3s)
[gen] fold5_room9_mix0098 walk tier=na siren noise=64.1dBA peak=0.120 (2s)
[1623-3245] 275/1623 759s elapsed, 2.76s/clip
[gen] fold5_room9_mix0099 walk tier=na siren noise=45.2dBA peak=0.139 (3s)
[gen] fold5_room9_mix0100 walk tier=na siren noise=53.0dBA peak=0.066 (2s)
[gen] fold8_room2_mix0001 static tier=critical car_drive+car_drive+siren noise=52.7dBA peak=0.059 (9s)
[gen] fold8_room2_mix0002 walk tier=caution car_drive+car_drive+horn noise=57.4dBA peak=0.007 (9s)
[gen] fold8_room2_mix0003 static tier=safe car_drive+car_drive noise=54.1dBA peak=0.001 (6s)
[gen] fold8_room2_mix0004 walk tier=critical car_drive+car_drive noise=63.7dBA peak=0.003 (7s)
[gen] fold8_room2_mix0005 static tier=caution car_drive+car_drive+backup_beep noise=45.4dBA peak=0.010 (8s)
[gen] fold8_room2_mix0006 walk tier=safe car_drive+car_drive+bike_bell noise=50.8dBA peak=0.001 (9s)
[gen] fold8_room2_mix0007 static tier=critical car_drive+car_drive noise=61.7dBA peak=0.005 (5s)
[gen] fold8_room2_mix0008 walk tier=caution car_drive+car_drive noise=62.8dBA peak=0.005 (6s)
[gen] fold8_room2_mix0009 static tier=safe car_drive+car_drive+crossing noise=48.2dBA peak=0.006 (8s)
[gen] fold8_room2_mix0010 walk tier=critical car_drive+car_drive+siren noise=47.4dBA peak=0.015 (8s)
[gen] fold8_room2_mix0011 static tier=caution car_drive+car_drive noise=52.7dBA peak=0.002 (6s)
[gen] fold8_room2_mix0012 walk tier=safe car_drive+car_drive noise=52.1dBA peak=0.003 (6s)
[gen] fold8_room2_mix0013 static tier=critical car_drive+car_drive+horn noise=44.6dBA peak=0.018 (8s)
[gen] fold8_room2_mix0014 walk tier=caution car_drive+car_drive+backup_beep noise=44.5dBA peak=0.005 (9s)
[gen] fold8_room2_mix0015 static tier=safe car_drive+car_drive noise=51.5dBA peak=0.001 (6s)
[gen] fold8_room2_mix0016 walk tier=critical car_drive+car_drive noise=47.1dBA peak=0.004 (6s)
[gen] fold8_room2_mix0017 static tier=caution car_drive+car_drive+bike_bell noise=56.5dBA peak=0.010 (18s)
[gen] fold8_room2_mix0018 walk tier=safe car_drive+car_drive+crossing noise=62.0dBA peak=0.003 (9s)
[gen] fold8_room2_mix0019 static tier=critical car_drive+car_drive noise=48.4dBA peak=0.006 (6s)
[gen] fold8_room2_mix0020 walk tier=caution car_drive+car_drive noise=44.9dBA peak=0.003 (6s)
[gen] fold8_room2_mix0021 static tier=safe car_drive+car_drive+siren noise=42.3dBA peak=0.027 (8s)
[gen] fold8_room2_mix0022 walk tier=critical car_drive+car_drive+horn noise=59.9dBA peak=0.008 (8s)
