=== v10_2ctrl gen rows 75-843 (769 clips) ===
[gen] fold1_room3_mix201 static tier=safe car_drive noise=44.1dBA peak=0.001 (2s)
[gen] fold1_room3_mix202 walk tier=critical car_drive noise=48.5dBA peak=0.003 (2s)
[gen] fold1_room3_mix203 static tier=caution car_drive noise=65.0dBA peak=0.003 (2s)
[gen] fold1_room3_mix204 walk tier=safe car_drive noise=49.1dBA peak=0.001 (2s)
[gen] fold1_room3_mix205 static tier=critical car_drive noise=56.4dBA peak=0.004 (2s)
[gen] fold1_room3_mix206 walk tier=caution car_drive noise=61.8dBA peak=0.003 (2s)
[gen] fold1_room3_mix207 static tier=safe car_drive noise=48.4dBA peak=0.000 (3s)
[gen] fold1_room3_mix208 walk tier=critical car_drive noise=57.7dBA peak=0.003 (3s)
[gen] fold1_room3_mix209 static tier=caution car_drive noise=47.2dBA peak=0.002 (4s)
[gen] fold1_room3_mix210 walk tier=safe car_drive noise=51.3dBA peak=0.001 (3s)
[gen] fold1_room3_mix211 static tier=critical car_drive noise=55.5dBA peak=0.008 (3s)
[gen] fold1_room3_mix212 walk tier=caution car_drive noise=48.2dBA peak=0.004 (2s)
[gen] fold1_room3_mix213 static tier=safe car_drive noise=43.8dBA peak=0.001 (3s)
[gen] fold1_room3_mix214 walk tier=critical car_drive noise=63.7dBA peak=0.003 (3s)
[gen] fold1_room3_mix215 static tier=caution car_drive noise=57.8dBA peak=0.003 (3s)
[gen] fold1_room3_mix216 walk tier=safe car_drive noise=63.7dBA peak=0.001 (3s)
[gen] fold1_room3_mix217 static tier=critical car_drive noise=60.7dBA peak=0.006 (3s)
[gen] fold1_room3_mix218 walk tier=caution car_drive noise=55.4dBA peak=0.002 (3s)
[gen] fold1_room3_mix219 static tier=safe car_drive noise=48.2dBA peak=0.001 (3s)
[gen] fold1_room3_mix220 walk tier=critical car_drive noise=64.5dBA peak=0.005 (3s)
[gen] fold1_room3_mix221 static tier=caution car_drive noise=62.3dBA peak=0.003 (2s)
[gen] fold1_room3_mix222 walk tier=safe car_drive noise=63.6dBA peak=0.001 (3s)
[gen] fold1_room3_mix223 static tier=critical car_drive noise=61.6dBA peak=0.004 (3s)
[gen] fold1_room3_mix224 walk tier=caution car_drive noise=62.7dBA peak=0.003 (3s)
[gen] fold1_room3_mix225 static tier=safe car_drive noise=41.7dBA peak=0.001 (3s)
[75-843] 150/769 445s elapsed, 2.97s/clip
[gen] fold1_room3_mix226 walk tier=critical car_drive noise=52.2dBA peak=0.005 (3s)
[gen] fold1_room3_mix227 static tier=caution car_drive noise=51.2dBA peak=0.003 (3s)
[gen] fold1_room3_mix228 walk tier=safe car_drive noise=50.1dBA peak=0.001 (3s)
[gen] fold1_room3_mix229 static tier=critical car_drive noise=47.1dBA peak=0.004 (2s)
[gen] fold1_room3_mix230 walk tier=caution car_drive noise=43.4dBA peak=0.003 (3s)
[gen] fold1_room3_mix231 static tier=safe car_drive noise=43.5dBA peak=0.002 (2s)
[gen] fold1_room3_mix232 walk tier=critical car_drive noise=43.5dBA peak=0.004 (3s)
[gen] fold1_room3_mix233 static tier=caution car_drive noise=58.4dBA peak=0.002 (3s)
[gen] fold1_room3_mix234 walk tier=safe car_drive noise=54.6dBA peak=0.001 (3s)
[gen] fold1_room3_mix235 static tier=critical car_drive noise=57.9dBA peak=0.005 (3s)
[gen] fold1_room3_mix236 walk tier=caution car_drive noise=40.3dBA peak=0.002 (3s)
[gen] fold1_room3_mix237 static tier=safe car_drive noise=42.9dBA peak=0.001 (4s)
[gen] fold1_room3_mix238 walk tier=critical car_drive noise=63.7dBA peak=0.004 (4s)
[gen] fold1_room3_mix239 static tier=caution car_drive noise=41.1dBA peak=0.002 (3s)
[gen] fold1_room3_mix240 walk tier=safe car_drive noise=61.0dBA peak=0.001 (3s)
[gen] fold1_room3_mix241 static tier=critical car_drive noise=63.7dBA peak=0.003 (6s)
[gen] fold1_room3_mix242 walk tier=caution car_drive noise=51.2dBA peak=0.003 (5s)
[gen] fold1_room3_mix243 static tier=safe car_drive noise=56.8dBA peak=0.000 (3s)
[gen] fold1_room3_mix244 walk tier=critical car_drive noise=57.2dBA peak=0.004 (4s)
[gen] fold1_room3_mix245 static tier=caution car_drive noise=55.2dBA peak=0.003 (4s)
[gen] fold1_room3_mix246 walk tier=safe car_drive noise=61.9dBA peak=0.002 (5s)
[gen] fold1_room3_mix247 static tier=critical car_drive noise=57.7dBA peak=0.002 (3s)
[gen] fold1_room3_mix248 walk tier=caution car_drive noise=47.9dBA peak=0.003 (4s)
[gen] fold1_room3_mix249 static tier=safe car_drive noise=47.7dBA peak=0.002 (3s)
[gen] fold1_room3_mix250 walk tier=critical car_drive noise=63.6dBA peak=0.005 (4s)
[75-843] 175/769 528s elapsed, 3.02s/clip
[gen] fold1_room3_mix251 static tier=caution car_drive noise=47.1dBA peak=0.002 (3s)
[gen] fold1_room3_mix252 walk tier=safe car_drive noise=45.4dBA peak=0.001 (3s)
[gen] fold1_room3_mix253 static tier=critical car_drive noise=48.3dBA peak=0.005 (3s)
[gen] fold1_room3_mix254 walk tier=caution car_drive noise=53.2dBA peak=0.001 (3s)
[gen] fold1_room3_mix255 static tier=safe car_drive noise=51.8dBA peak=0.001 (3s)
[gen] fold1_room3_mix256 walk tier=critical car_drive noise=43.3dBA peak=0.004 (4s)
[gen] fold1_room3_mix257 static tier=caution car_drive noise=44.2dBA peak=0.003 (3s)
[gen] fold1_room3_mix258 walk tier=safe car_drive noise=64.9dBA peak=0.001 (3s)
[gen] fold1_room3_mix259 static tier=critical car_drive noise=51.9dBA peak=0.006 (3s)
[gen] fold1_room3_mix260 walk tier=caution car_drive noise=51.7dBA peak=0.003 (3s)
[gen] fold1_room3_mix261 static tier=safe car_drive noise=53.7dBA peak=0.001 (3s)
[gen] fold1_room3_mix262 walk tier=critical car_drive noise=41.6dBA peak=0.007 (4s)
[gen] fold1_room3_mix263 static tier=caution car_drive noise=49.6dBA peak=0.003 (4s)
[gen] fold1_room3_mix264 walk tier=safe car_drive noise=51.2dBA peak=0.001 (4s)
[gen] fold1_room3_mix265 static tier=critical car_drive noise=59.8dBA peak=0.003 (4s)
[gen] fold1_room3_mix266 walk tier=caution car_drive noise=48.4dBA peak=0.003 (4s)
[gen] fold1_room3_mix267 static tier=safe car_drive noise=64.3dBA peak=0.001 (4s)
[gen] fold1_room3_mix268 walk tier=critical car_drive noise=42.6dBA peak=0.004 (4s)
[gen] fold1_room3_mix269 static tier=caution car_drive noise=56.8dBA peak=0.002 (3s)
[gen] fold1_room3_mix270 walk tier=safe car_drive noise=46.0dBA peak=0.000 (3s)
[gen] fold1_room3_mix271 static tier=critical car_drive noise=50.2dBA peak=0.003 (3s)
[gen] fold1_room3_mix272 walk tier=caution car_drive noise=59.5dBA peak=0.002 (4s)
[gen] fold1_room3_mix273 static tier=safe car_drive noise=48.8dBA peak=0.001 (3s)
[gen] fold1_room3_mix274 walk tier=critical car_drive noise=60.7dBA peak=0.005 (3s)
[gen] fold1_room3_mix275 static tier=caution car_drive noise=56.4dBA peak=0.001 (3s)
[75-843] 200/769 613s elapsed, 3.07s/clip
[gen] fold1_room3_mix276 walk tier=safe car_drive noise=42.5dBA peak=0.001 (3s)
[gen] fold1_room3_mix277 static tier=critical car_drive noise=61.0dBA peak=0.004 (3s)
[gen] fold1_room3_mix278 walk tier=caution car_drive noise=47.4dBA peak=0.003 (4s)
[gen] fold1_room3_mix279 static tier=safe car_drive noise=45.6dBA peak=0.001 (3s)
[gen] fold1_room3_mix280 walk tier=critical car_drive noise=64.1dBA peak=0.004 (4s)
[gen] fold1_room3_mix281 static tier=caution car_drive noise=41.9dBA peak=0.002 (3s)
[gen] fold1_room3_mix282 walk tier=safe car_drive noise=55.1dBA peak=0.002 (4s)
[gen] fold1_room3_mix283 static tier=critical car_drive noise=63.7dBA peak=0.005 (3s)
[gen] fold1_room3_mix284 walk tier=caution car_drive noise=45.5dBA peak=0.004 (4s)
[gen] fold1_room3_mix285 static tier=safe car_drive noise=43.5dBA peak=0.001 (3s)
[gen] fold1_room3_mix286 walk tier=critical car_drive noise=44.9dBA peak=0.005 (4s)
[gen] fold1_room3_mix287 static tier=caution car_drive noise=46.1dBA peak=0.002 (3s)
[gen] fold1_room3_mix288 walk tier=safe car_drive noise=50.2dBA peak=0.000 (3s)
[gen] fold1_room3_mix289 static tier=critical car_drive noise=54.3dBA peak=0.003 (3s)
[gen] fold1_room3_mix290 walk tier=caution car_drive noise=57.6dBA peak=0.002 (4s)
[gen] fold1_room3_mix291 static tier=safe car_drive noise=52.8dBA peak=0.002 (3s)
[gen] fold1_room3_mix292 walk tier=critical car_drive noise=64.7dBA peak=0.003 (3s)
[gen] fold1_room3_mix293 static tier=caution car_drive noise=54.1dBA peak=0.002 (3s)
[gen] fold1_room3_mix294 walk tier=safe car_drive noise=50.9dBA peak=0.000 (4s)
[gen] fold1_room3_mix295 static tier=critical car_drive noise=41.0dBA peak=0.005 (3s)
[gen] fold1_room3_mix296 walk tier=caution car_drive noise=59.5dBA peak=0.001 (3s)
[gen] fold1_room3_mix297 static tier=safe car_drive noise=44.5dBA peak=0.000 (3s)
[gen] fold1_room3_mix298 walk tier=critical car_drive noise=58.3dBA peak=0.004 (3s)
[gen] fold1_room3_mix299 static tier=caution car_drive noise=53.0dBA peak=0.003 (3s)
[gen] fold1_room3_mix300 walk tier=safe car_drive noise=46.9dBA peak=0.001 (4s)
[75-843] 225/769 696s elapsed, 3.09s/clip
[gen] fold1_room3_mix301 static tier=critical car_drive noise=62.2dBA peak=0.003 (3s)
[gen] fold1_room3_mix302 walk tier=caution car_drive noise=45.2dBA peak=0.002 (3s)
[gen] fold1_room3_mix303 static tier=safe car_drive noise=49.7dBA peak=0.001 (3s)
[gen] fold1_room3_mix304 walk tier=critical car_drive noise=44.5dBA peak=0.003 (4s)
[gen] fold1_room3_mix305 static tier=caution car_drive+crossing noise=49.0dBA peak=0.004 (7s)
[gen] fold1_room3_mix306 walk tier=safe car_drive+siren noise=62.5dBA peak=0.059 (7s)
[gen] fold1_room3_mix307 static tier=critical car_drive+horn noise=49.8dBA peak=0.052 (6s)
[gen] fold1_room3_mix308 walk tier=caution car_drive+backup_beep noise=52.9dBA peak=0.003 (7s)
[gen] fold1_room3_mix309 static tier=safe car_drive+bike_bell noise=56.3dBA peak=0.002 (18s)
[gen] fold1_room3_mix310 walk tier=critical car_drive+crossing noise=49.3dBA peak=0.003 (15s)
[gen] fold1_room3_mix311 static tier=caution car_drive+siren noise=58.3dBA peak=0.034 (9s)
[gen] fold1_room3_mix312 walk tier=safe car_drive+horn noise=45.2dBA peak=0.003 (10s)
[gen] fold1_room3_mix313 static tier=critical car_drive+backup_beep noise=59.4dBA peak=0.003 (10s)
[gen] fold1_room3_mix314 walk tier=caution car_drive+bike_bell noise=60.1dBA peak=0.002 (10s)
[gen] fold1_room3_mix315 static tier=safe car_drive+crossing noise=56.6dBA peak=0.001 (9s)
[gen] fold1_room3_mix316 walk tier=critical car_drive+siren noise=54.4dBA peak=0.481 (10s)
[gen] fold1_room3_mix317 static tier=caution car_drive+horn noise=53.7dBA peak=0.007 (7s)
[gen] fold1_room3_mix318 walk tier=safe car_drive+backup_beep noise=56.6dBA peak=0.001 (9s)
[gen] fold1_room3_mix319 static tier=critical car_drive+bike_bell noise=45.5dBA peak=0.003 (20s)
[gen] fold1_room3_mix320 walk tier=caution car_drive+crossing noise=48.5dBA peak=0.002 (10s)
[gen] fold1_room3_mix321 static tier=safe car_drive+siren noise=42.0dBA peak=0.015 (7s)
[gen] fold1_room3_mix322 walk tier=critical car_drive+horn noise=51.6dBA peak=0.005 (8s)
[gen] fold1_room3_mix323 static tier=caution car_drive+backup_beep noise=63.8dBA peak=0.002 (8s)
[gen] fold1_room3_mix324 walk tier=safe car_drive+bike_bell noise=49.5dBA peak=0.003 (10s)
[gen] fold1_room3_mix325 static tier=critical car_drive+crossing noise=42.7dBA peak=0.003 (8s)
[75-843] 250/769 913s elapsed, 3.65s/clip
[gen] fold1_room3_mix326 walk tier=caution car_drive+siren noise=61.2dBA peak=0.365 (8s)
[gen] fold1_room3_mix327 static tier=safe car_drive+horn noise=58.9dBA peak=0.007 (9s)
[gen] fold1_room3_mix328 walk tier=critical car_drive+backup_beep noise=59.6dBA peak=0.003 (11s)
[gen] fold1_room3_mix329 static tier=caution car_drive+bike_bell noise=50.8dBA peak=0.002 (12s)
[gen] fold1_room3_mix330 walk tier=safe car_drive+crossing noise=42.5dBA peak=0.002 (8s)
[gen] fold1_room3_mix331 static tier=critical car_drive+siren noise=52.4dBA peak=0.098 (6s)
[gen] fold1_room3_mix332 walk tier=caution car_drive+horn noise=59.3dBA peak=0.003 (7s)
[gen] fold1_room3_mix333 static tier=safe car_drive+backup_beep noise=64.4dBA peak=0.001 (5s)
[gen] fold1_room3_mix334 walk tier=critical car_drive+bike_bell noise=46.1dBA peak=0.007 (19s)
[gen] fold1_room3_mix335 static tier=caution car_drive+crossing noise=48.0dBA peak=0.002 (6s)
[gen] fold1_room3_mix336 walk tier=safe car_drive+siren noise=63.0dBA peak=0.017 (7s)
[gen] fold1_room3_mix337 static tier=critical car_drive+horn noise=57.5dBA peak=0.005 (6s)
[gen] fold1_room3_mix338 walk tier=caution car_drive+backup_beep noise=49.8dBA peak=0.002 (6s)
[gen] fold1_room3_mix339 static tier=safe car_drive+bike_bell noise=43.4dBA peak=0.001 (14s)
[gen] fold1_room3_mix340 walk tier=critical car_drive+crossing noise=60.9dBA peak=0.006 (8s)
[gen] fold1_room3_mix341 static tier=caution car_drive+siren noise=57.2dBA peak=0.072 (6s)
[gen] fold1_room3_mix342 walk tier=safe car_drive+horn noise=62.8dBA peak=0.013 (7s)
[gen] fold1_room3_mix343 static tier=critical car_drive+backup_beep noise=49.1dBA peak=0.004 (6s)
[gen] fold1_room3_mix344 walk tier=caution car_drive+bike_bell noise=56.7dBA peak=0.003 (17s)
[gen] fold1_room3_mix345 static tier=safe car_drive+crossing noise=43.1dBA peak=0.001 (6s)
[gen] fold1_room3_mix346 walk tier=critical car_drive+siren noise=58.0dBA peak=0.023 (6s)
[gen] fold1_room3_mix347 static tier=caution car_drive+horn noise=56.4dBA peak=0.073 (6s)
[gen] fold1_room3_mix348 walk tier=safe car_drive+backup_beep noise=42.2dBA peak=0.001 (6s)
[gen] fold1_room3_mix349 static tier=critical car_drive+bike_bell noise=40.6dBA peak=0.003 (14s)
