set,clip,tier,scenario,motion,n_fires,false_fires,car_lead,car_oracle
val,fold2_room1_mix127,critical,normal,walk,2,0,3.9899999999999993,4.789999999999999
val,fold2_room1_mix128,critical,normal,static,2,0,1.2300000000000004,2.2300000000000004
val,fold2_room1_mix129,safe,normal,static,4,0,-0.3000000000000007,2.299999999999999
val,fold2_room1_mix130,caution,normal,static,4,0,2.7399999999999998,3.5399999999999996
val,fold2_room1_mix131,safe,normal,walk,4,0,7.860000000000001,8.760000000000002
val,fold2_room1_mix132,safe,normal,walk,3,0,6.32,7.220000000000001
val,fold2_room1_mix133,critical,normal,walk,4,0,0.8300000000000001,1.7299999999999995
val,fold2_room1_mix134,safe,normal,walk,2,0,6.16,5.960000000000001
val,fold2_room1_mix135,safe,normal,static,2,0,5.52,6.52
val,fold2_room1_mix136,safe,normal,static,8,0,6.88,7.78
val,fold2_room1_mix137,critical,normal,static,2,0,7.09,7.99
val,fold2_room1_mix138,critical,normal,walk,4,0,6.98,7.98
val,fold2_room1_mix139,caution,normal,static,3,0,7.199999999999999,8.1
val,fold2_room1_mix140,caution,normal,static,3,0,5.49,6.59
val,fold2_room1_mix141,safe,normal,static,4,0,4.74,5.74
val,fold2_room1_mix142,caution,normal,static,1,0,1.79,2.59
val,fold2_room1_mix143,critical,normal,walk,3,0,1.2800000000000002,2.08
val,fold2_room1_mix144,critical,normal,static,5,0,7.65,8.55
val,fold2_room1_mix145,safe,normal,static,3,0,7.200000000000001,8.100000000000001
val,fold2_room1_mix146,safe,normal,walk,3,0,6.859999999999999,7.76
val,fold2_room1_mix147,critical,normal,walk,1,0,5.140000000000001,6.04
val,fold2_room1_mix148,safe,normal,static,3,0,,0.23000000000000043
val,fold2_room1_mix149,safe,normal,static,4,0,3.58,4.18
val,fold2_room1_mix150,critical,normal,walk,3,0,7.949999999999999,8.85
val,fold2_room1_mix151,caution,normal,static,3,0,3.71,5.51
val,fold2_room1_mix152,safe,normal,static,2,0,7.220000000000001,8.120000000000001
