set,clip,tier,scenario,motion,n_fires,false_fires,car_lead,car_oracle
val,fold2_room1_mix0145,na,v11core,walk,0,0,,
val,fold2_room1_mix0146,safe,v11core,static,3,0,6.890000000000001,7.79
val,fold2_room1_mix0147,caution,v11core,static,1,0,5.26,6.16
val,fold2_room1_mix0148,na,v11core,static,2,0,,
val,fold2_room1_mix0149,safe,v11core,static,2,0,6.16,7.06
val,fold2_room1_mix0150,caution,v11core,static,1,0,1.8899999999999997,2.6900000000000004
val,fold2_room1_mix0151,caution,v11core,static,4,0,5.17,6.07
val,fold2_room1_mix0152,safe,v11core,walk,2,0,6.3,7.2
val,fold2_room1_mix0153,caution,v11core,static,2,0,0.8000000000000007,1.5000000000000009
val,fold2_room1_mix0154,na,v11core,walk,0,0,,
val,fold2_room1_mix0155,safe,v11core,walk,3,0,5.75,6.6499999999999995
val,fold2_room1_mix0156,critical,v11core,static,4,0,6.23,7.130000000000001
val,fold2_room1_mix0157,safe,v11core,walk,4,0,6.2299999999999995,7.33
val,fold2_room1_mix0158,safe,v11core,static,2,0,7.16,8.16
val,fold2_room1_mix0159,safe,v11core,walk,2,0,6.32,7.22
val,fold2_room1_mix0160,na,v11core,walk,1,0,,
val,fold2_room1_mix0161,critical,v11core,walk,3,0,6.800000000000001,7.7
val,fold2_room1_mix0162,safe,v11core,static,4,0,5.7,6.6000000000000005
val,fold2_room1_mix0163,critical,v11core,static,3,0,6.76,7.56
val,fold2_room1_mix0164,critical,v11core,static,2,0,6.3,7.2
val,fold2_room1_mix0165,na,v11core,static,3,0,,
val,fold2_room1_mix0166,safe,v11core,walk,1,0,6.579999999999999,8.08
val,fold2_room1_mix0167,safe,v11core,static,4,0,7.15,8.15
val,fold2_room1_mix0168,na,v11core,static,1,0,,
val,fold2_room1_mix0169,safe,v11core,static,1,0,3.17,0.9699999999999998
val,fold2_room1_mix0170,safe,v11core,walk,2,0,6.27,7.37
val,fold2_room1_mix0171,caution,v11core,static,3,0,3.17,4.37
val,fold2_room1_mix0172,safe,v11core,static,3,0,5.039999999999999,6.04
val,fold2_room1_mix0173,safe,v11core,walk,2,0,6.91,7.8100000000000005
val,fold2_room1_mix0174,safe,v11core,walk,4,0,4.5,5.6
val,fold2_room1_mix0175,critical,v11core,static,2,0,7.01,7.91
val,fold2_room1_mix0176,safe,v11core,walk,5,0,1.6800000000000002,2.48
val,fold2_room1_mix0177,safe,v11core,walk,5,0,2.5300000000000002,1.83
val,fold2_room1_mix0178,safe,v11core,static,3,0,1.0300000000000002,2.2300000000000004
