type,a,b,c,d,e,f,g
map,1,,,,,,
poi,82.3,61.6,crossing,,,,
poi,87.0,63.6,signal,,,,
poi,85.9,70.0,crossing,,,,
poi,89.0,56.9,crossing,,,,
water,1790.7,504.6,1806.9,513.5,3.0,,
water,1806.9,513.5,1828.4,523.9,3.0,,
water,1828.4,523.9,1856.0,541.8,3.0,,
water,1856.0,541.8,1880.1,559.9,3.0,,
water,1880.1,559.9,1901.9,576.6,3.0,,
water,1901.9,576.6,1915.0,587.5,3.0,,
water,1915.0,587.5,1924.4,596.5,3.0,,
water,1924.4,596.5,1941.3,606.4,3.0,,
water,1941.3,606.4,1965.0,616.8,3.0,,
water,1965.0,616.8,1986.1,631.8,3.0,,
water,1986.1,631.8,1996.7,636.1,3.0,,
water,1996.7,636.1,2011.2,651.1,3.0,,
water,2011.2,651.1,2031.3,661.0,3.0,,
water,2031.3,661.0,2054.5,677.7,3.0,,
water,2054.5,677.7,2072.9,694.6,3.0,,
water,2072.9,694.6,2095.1,709.1,3.0,,
water,2095.1,709.1,2119.8,726.1,3.0,,
water,2119.8,726.1,2137.4,734.8,3.0,,
water,2137.4,734.8,2179.5,762.6,3.0,,
water,2179.5,762.6,2202.2,781.7,3.0,,
water,2202.2,781.7,2236.3,800.8,3.0,,
water,2236.3,800.8,2294.4,844.2,3.0,,
water,2294.4,844.2,2321.7,867.3,3.0,,
water,2321.7,867.3,2355.7,903.5,3.0,,
water,2355.7,903.5,2410.1,966.6,3.0,,
water,2410.1,966.6,2431.5,991.4,3.0,,
water,2431.5,991.4,2445.0,1001.5,3.0,,
water,2445.0,1001.5,2451.0,1000.4,3.0,,
water,2451.0,1000.4,2438.9,1036.7,3.0,,
road,67.0,55.5,82.3,61.6,5.5,unclassified,
road,56.6,51.2,67.0,55.5,5.5,unclassified,
road,55.4,55.5,65.9,59.3,1.6,footway,
road,65.9,59.3,79.7,65.3,1.6,footway,
road,-83.9,75.3,-67.5,77.2,5.5,unclassified,
road,-67.5,77.2,-56.8,79.5,5.5,unclassified,
road,-56.8,79.5,-24.0,86.4,5.5,unclassified,
road,-24.0,86.4,-1.3,91.4,5.5,unclassified,
road,-1.3,91.4,27.6,96.9,5.5,unclassified,
road,27.6,96.9,39.6,99.5,5.5,unclassified,
road,39.6,99.5,52.0,101.5,5.5,unclassified,
road,52.0,101.5,74.7,102.8,5.5,unclassified,
road,74.7,102.8,75.6,103.1,5.5,unclassified,
road,75.6,103.1,80.0,104.5,5.5,unclassified,
bldg,36.7,-82.5,85.9,22.8,-178.8,12.8,10号館
bldg,46.9,-107.3,74.6,16.5,-177.1,12.8,11号館
bldg,47.0,-37.1,31.4,17.5,97.0,6.0,20号館（なるほど科学体験館）
bldg,-108.4,-31.9,42.6,9.1,-171.1,6.4,
road,-2.2,-4.0,-8.8,-11.2,3.5,service,
road,-8.8,-11.2,-22.2,-21.0,3.5,service,
road,-22.2,-21.0,-24.4,-23.4,3.5,service,
road,-24.4,-23.4,-27.0,-33.0,3.5,service,
road,-27.0,-33.0,-29.8,-39.2,3.5,service,
road,-29.8,-39.2,-52.9,-62.6,3.5,service,
road,-52.9,-62.6,-52.2,-83.9,3.5,service,
road,-52.2,-83.9,-61.1,-84.3,3.5,service,
road,-61.1,-84.3,-62.2,-86.1,3.5,service,
road,-62.2,-86.1,-65.4,-91.2,3.5,service,
road,-65.4,-91.2,-65.2,-98.3,3.5,service,
road,-65.2,-98.3,-65.0,-104.2,3.5,service,
road,-65.0,-104.2,-64.4,-121.9,3.5,service,
road,-64.4,-121.9,-63.7,-125.2,3.5,service,
road,-63.7,-125.2,-63.3,-126.6,3.5,service,
road,-63.3,-126.6,-63.2,-137.9,3.5,service,
road,-24.4,-23.4,-27.3,-21.5,3.5,service,
road,-27.3,-21.5,-36.3,-15.3,3.5,service,
road,-36.3,-15.3,-67.6,-16.2,3.5,service,
road,-67.6,-16.2,-116.2,-18.5,3.5,service,
road,-116.2,-18.5,-120.3,-20.3,3.5,service,
road,-120.3,-20.3,-165.0,-21.7,3.5,service,
road,-165.0,-21.7,-201.4,-23.1,3.5,service,
road,-201.4,-23.1,-209.3,-31.0,3.5,service,
road,-209.3,-31.0,-208.4,-59.6,3.5,service,
road,-208.4,-59.6,-208.3,-67.8,3.5,service,
road,-52.9,-62.6,-57.6,-67.0,3.5,service,
road,-57.6,-67.0,-62.7,-67.3,3.5,service,
road,-62.7,-67.3,-62.5,-76.1,3.5,service,
road,-62.5,-76.1,-62.2,-86.1,3.5,service,
bldg,-25.1,-13.4,6.5,4.8,96.9,3.2,
bldg,-68.7,-77.0,19.3,7.7,88.5,6.0,
road,-195.8,9.6,-195.5,-2.1,3.5,service,
road,-195.5,-2.1,-166.0,-1.0,3.5,service,
road,-166.0,-1.0,-119.5,0.7,3.5,service,
road,-119.5,0.7,-67.8,2.0,3.5,service,
road,-67.8,2.0,-67.8,-1.7,3.5,service,
road,-67.8,-1.7,-67.7,-6.5,3.5,service,
road,-67.7,-6.5,-67.7,-12.2,3.5,service,
road,-67.7,-12.2,-67.6,-16.2,3.5,service,
road,8.1,0.5,3.6,3.8,1.6,footway,
road,3.6,3.8,0.4,6.2,1.6,footway,
road,17.0,-62.8,15.1,-10.4,3.5,service,
road,15.1,-10.4,12.0,-8.4,3.5,service,
road,12.0,-8.4,3.1,-2.7,3.5,service,
road,3.1,-2.7,-0.2,-0.7,3.5,service,
road,-65.4,-91.2,-68.4,-95.5,1.6,footway,
road,-68.4,-95.5,-68.2,-100.3,1.6,footway,
road,-68.2,-100.3,-65.0,-104.2,1.6,footway,
road,-62.7,-67.3,-65.9,-62.2,1.6,footway,
road,-65.9,-62.2,-65.9,-61.2,1.6,footway,
road,-65.9,-61.2,-67.2,-29.0,1.6,footway,
road,-67.2,-29.0,-67.6,-16.2,1.6,footway,
road,-95.9,-76.8,-114.0,-77.1,1.6,footway,
road,-114.7,-56.5,-163.2,-58.1,1.6,footway,
road,-163.2,-58.1,-166.7,-58.2,1.6,footway,
road,-166.7,-58.2,-169.8,-58.3,1.6,footway,
road,-169.8,-58.3,-208.4,-59.6,1.6,footway,
road,31.2,64.0,35.2,66.4,1.5,steps,
road,-21.4,2.2,-22.7,2.8,1.6,footway,
road,-22.7,2.8,-25.5,2.8,1.6,footway,
road,-25.5,2.8,-34.5,2.8,1.6,footway,
road,-34.5,2.8,-43.4,3.4,1.6,footway,
road,-43.4,3.4,-49.1,3.2,1.6,footway,
road,-49.1,3.2,-49.4,9.3,1.6,footway,
road,-49.4,9.3,-61.4,9.2,1.6,footway,
bldg,54.7,24.4,24.3,15.3,81.9,6.4,
road,-2.9,-23.2,-7.0,-22.4,1.6,footway,
road,-7.0,-22.4,-10.9,-21.7,1.6,footway,
road,-2.9,-23.2,-6.7,-42.3,1.6,footway,
road,-6.7,-42.3,-20.5,-106.8,1.6,footway,
road,-20.5,-106.8,-23.1,-119.6,1.6,footway,
road,-23.1,-119.6,-26.9,-138.3,1.6,footway,
road,-26.9,-138.3,-36.8,-185.6,1.6,footway,
road,-36.8,-185.6,-40.5,-203.8,1.6,footway,
road,-40.5,-203.8,-43.9,-220.8,1.6,footway,
road,-43.9,-220.8,-45.1,-225.0,1.6,footway,
road,-45.1,-225.0,-46.6,-228.1,1.6,footway,
road,-46.6,-228.1,-50.7,-234.8,1.6,footway,
road,-50.7,-234.8,-52.6,-237.5,1.6,footway,
road,-52.6,-237.5,-55.1,-241.0,1.6,footway,
road,-61.0,45.5,-66.3,44.6,1.6,footway,
road,-66.3,44.6,-122.8,41.7,1.6,footway,
road,-122.8,41.7,-122.2,16.8,1.6,footway,
road,-122.2,16.8,-119.7,15.6,1.6,footway,
road,-119.7,15.6,-119.5,0.7,1.6,footway,
road,-66.6,26.7,-65.8,5.8,3.5,service,
road,-65.8,5.8,-67.8,2.0,3.5,service,
bldg,-51.8,17.1,13.1,3.8,90.6,3.2,
road,-122.8,41.7,-129.6,39.1,1.6,footway,
road,-129.6,39.1,-154.3,38.8,1.6,footway,
road,-10.9,-21.7,-13.3,-33.5,1.6,footway,
road,-13.3,-33.5,-34.6,-137.4,1.6,footway,
road,-34.6,-137.4,-49.1,-206.1,1.6,footway,
road,-49.1,-206.1,-52.2,-215.9,1.6,footway,
road,-52.2,-215.9,-55.6,-222.8,1.6,footway,
road,-55.6,-222.8,-67.0,-236.8,1.6,footway,
road,-67.0,-236.8,-72.7,-243.7,1.6,footway,
road,81.2,-112.3,78.8,-114.5,3.5,service,
road,78.8,-114.5,76.4,-115.8,3.5,service,
road,76.4,-115.8,1.3,-117.7,3.5,service,
road,1.3,-117.7,-3.3,-116.4,3.5,service,
road,-3.3,-116.4,-6.6,-113.9,3.5,service,
road,-6.6,-113.9,-8.3,-110.7,3.5,service,
road,-8.3,-110.7,-8.4,-106.4,3.5,service,
road,-8.4,-106.4,-14.5,-106.6,3.5,service,
road,-14.5,-106.6,-20.5,-106.8,3.5,service,
road,-20.5,-106.8,-24.6,-106.9,3.5,service,
road,-10.9,-21.7,-8.8,-11.2,1.6,footway,
road,-8.8,-11.2,-10.2,-8.5,1.6,footway,
road,-10.2,-8.5,-11.5,-7.9,1.6,footway,
road,-11.5,-7.9,-11.3,-4.1,1.6,footway,
road,-11.3,-4.1,-11.3,0.1,1.6,footway,
bldg,17.8,-96.5,14.8,11.2,169.5,12.8,
road,-8.4,-106.4,-7.6,-102.9,3.5,service,
road,-7.6,-102.9,-5.9,-99.4,3.5,service,
road,-5.9,-99.4,-1.8,-96.6,3.5,service,
road,-1.8,-96.6,10.9,-96.0,3.5,service,
bldg,111.5,-78.1,119.0,21.1,127.3,19.2,東和リバーサイド野田
bldg,47.7,-124.8,24.9,10.6,177.8,6.0,
bldg,23.7,-124.9,12.6,7.9,176.7,6.0,
bldg,15.5,-124.5,6.6,6.4,121.2,6.0,
bldg,57.2,1.0,17.1,10.6,-155.4,6.0,
road,76.2,99.9,76.9,96.1,1.6,footway,
road,76.9,96.1,82.3,69.2,1.6,footway,
road,82.3,69.2,82.3,68.1,1.6,footway,
road,82.3,68.1,81.7,66.7,1.6,footway,
road,81.7,66.7,81.0,66.0,1.6,footway,
road,81.0,66.0,79.7,65.3,1.6,footway,
road,121.3,110.4,102.0,105.9,1.6,footway,
road,102.0,105.9,86.2,102.3,1.6,footway,
road,86.2,102.3,84.7,101.9,1.6,footway,
road,84.7,101.9,85.4,97.6,1.6,footway,
road,85.4,97.6,89.1,76.7,1.6,footway,
road,89.1,76.7,90.3,71.0,1.6,footway,
road,90.3,71.0,93.0,57.7,1.6,footway,
road,93.0,57.7,93.5,55.4,1.6,footway,
road,93.5,55.4,95.0,49.1,1.6,footway,
road,95.0,49.1,96.5,44.5,1.6,footway,
road,96.5,44.5,100.5,37.4,1.6,footway,
road,100.5,37.4,109.8,23.6,1.6,footway,
road,83.5,57.6,84.1,55.9,1.6,footway,
road,84.1,55.9,84.7,54.0,1.6,footway,
road,84.7,54.0,85.8,50.7,1.6,footway,
road,85.8,50.7,87.1,48.0,1.6,footway,
road,83.5,57.6,82.3,61.6,1.6,footway,
road,82.3,61.6,81.0,66.0,1.6,footway,
road,93.0,57.7,89.0,56.9,1.6,footway,
road,89.0,56.9,84.1,55.9,1.6,footway,
road,90.3,71.0,85.9,70.0,1.6,footway,
road,85.9,70.0,82.3,69.2,1.6,footway,
road,74.8,107.2,75.3,104.8,1.6,footway,
road,76.2,99.9,75.6,103.1,1.6,footway,
road,75.6,103.1,75.3,104.8,1.6,footway,
road,85.4,97.6,81.3,96.9,1.6,footway,
road,81.3,96.9,76.9,96.1,1.6,footway,
bldg,73.6,70.1,14.7,10.1,-178.5,6.0,
bldg,70.8,81.6,15.8,11.9,90.5,6.0,
bldg,66.5,93.2,9.9,7.8,177.6,6.0,
road,19.0,79.0,20.3,72.5,3.0,pedestrian,
road,20.3,72.5,22.1,72.8,3.0,pedestrian,
road,22.1,72.8,24.7,73.2,3.0,pedestrian,
road,24.7,73.2,25.7,73.4,3.0,pedestrian,
road,25.7,73.4,30.5,72.9,3.0,pedestrian,
road,30.5,72.9,31.7,72.0,3.0,pedestrian,
road,31.7,72.0,33.6,68.9,3.0,pedestrian,
road,33.6,68.9,35.2,66.4,3.0,pedestrian,
road,35.2,66.4,36.6,64.1,3.0,pedestrian,
road,36.6,64.1,38.4,61.2,3.0,pedestrian,
road,38.4,61.2,39.1,58.7,3.0,pedestrian,
road,39.1,58.7,38.5,56.0,3.0,pedestrian,
road,38.5,56.0,37.2,53.7,3.0,pedestrian,
road,37.2,53.7,33.8,51.3,3.0,pedestrian,
road,33.8,51.3,32.5,50.4,3.0,pedestrian,
road,32.5,50.4,30.8,49.2,3.0,pedestrian,
road,30.8,49.2,29.6,48.4,3.0,pedestrian,
road,29.6,48.4,24.3,43.9,3.0,pedestrian,
road,24.3,43.9,23.7,43.2,3.0,pedestrian,
road,23.7,43.2,13.4,30.3,3.0,pedestrian,
road,13.4,30.3,12.6,29.3,3.0,pedestrian,
road,12.6,29.3,-1.7,11.7,3.0,pedestrian,
road,-1.7,11.7,-4.6,8.3,3.0,pedestrian,
road,-4.6,8.3,-8.6,3.3,3.0,pedestrian,
road,-8.6,3.3,-11.3,0.1,3.0,pedestrian,
road,-11.3,0.1,-5.0,0.6,3.0,pedestrian,
road,-5.0,0.6,-4.2,1.2,3.0,pedestrian,
road,-4.2,1.2,0.4,6.2,3.0,pedestrian,
road,0.4,6.2,6.2,12.6,3.0,pedestrian,
road,6.2,12.6,9.8,16.5,3.0,pedestrian,
road,9.8,16.5,10.8,17.8,3.0,pedestrian,
road,10.8,17.8,12.3,19.6,3.0,pedestrian,
road,12.3,19.6,28.9,41.2,3.0,pedestrian,
road,28.9,41.2,36.2,47.7,3.0,pedestrian,
road,36.2,47.7,44.2,53.5,3.0,pedestrian,
road,44.2,53.5,44.2,55.3,3.0,pedestrian,
road,44.2,55.3,45.9,61.3,3.0,pedestrian,
road,45.9,61.3,45.8,65.0,3.0,pedestrian,
road,45.8,65.0,44.5,68.8,3.0,pedestrian,
road,44.5,68.8,42.0,68.9,3.0,pedestrian,
road,42.0,68.9,40.1,68.9,3.0,pedestrian,
road,40.1,68.9,39.4,68.9,3.0,pedestrian,
road,39.4,68.9,31.8,80.7,3.0,pedestrian,
road,31.8,80.7,24.3,79.8,3.0,pedestrian,
road,24.3,79.8,21.8,79.4,3.0,pedestrian,
road,21.8,79.4,19.0,79.0,3.0,pedestrian,
road,-66.6,26.7,-66.1,29.5,1.6,footway,
road,-66.1,29.5,-66.3,44.6,1.6,footway,
road,117.1,6.2,125.7,11.0,3.5,service,
road,125.7,11.0,129.8,6.9,3.5,service,
road,129.8,6.9,144.3,-6.4,3.5,service,
road,144.3,-6.4,136.8,-16.0,3.5,service,
road,125.7,11.0,117.3,28.4,3.5,service,
bldg,91.8,15.7,20.1,9.9,122.5,6.0,
road,21.8,79.4,4.8,191.0,3.0,pedestrian,
bldg,105.0,84.8,21.5,11.9,-175.3,6.0,
bldg,108.2,63.7,14.4,10.7,172.3,6.0,
bldg,119.2,40.9,26.4,14.2,-153.8,6.0,
bldg,130.8,-37.7,13.5,11.1,141.6,6.0,
bldg,121.3,-23.8,16.1,14.0,121.8,6.0,
bldg,118.6,-13.4,12.5,12.3,72.9,6.0,
bldg,111.8,-7.2,9.9,6.2,45.1,6.0,
bldg,112.0,-13.9,4.4,3.5,136.0,6.0,
bldg,104.8,-12.6,3.2,2.5,113.9,6.0,
bldg,101.8,-7.8,5.3,4.4,111.4,6.0,
bldg,-39.3,6.3,10.8,6.3,172.3,6.0,
bldg,-28.0,7.6,9.1,5.6,96.0,6.0,
bldg,-28.7,17.6,9.8,8.2,104.5,6.0,
bldg,-40.8,14.7,2.9,2.9,126.1,6.0,
road,-62.5,-76.1,-71.4,-76.3,1.6,footway,
road,-5.0,58.8,-6.1,58.6,1.6,footway,
road,-6.1,58.6,-9.2,58.0,1.6,footway,
road,-9.2,58.0,-61.0,45.5,1.6,footway,
road,-21.4,2.2,-11.1,3.1,1.6,footway,
road,-11.1,3.1,-8.6,3.3,1.6,footway,
road,-8.6,3.3,-5.5,3.6,1.6,footway,
road,-5.5,3.6,7.4,19.1,1.6,footway,
road,7.4,19.1,27.4,43.1,1.6,footway,
road,27.4,43.1,33.8,48.4,1.6,footway,
road,33.8,48.4,40.7,54.2,1.6,footway,
road,40.7,54.2,41.8,58.6,1.6,footway,
road,41.8,58.6,37.2,67.6,1.6,footway,
road,37.2,67.6,35.3,71.2,1.6,footway,
road,35.3,71.2,31.5,76.8,1.6,footway,
road,31.5,76.8,21.9,76.3,1.6,footway,
road,42.0,68.9,41.8,58.6,1.6,footway,
road,33.8,48.4,32.5,50.4,1.6,footway,
road,32.5,50.4,31.1,52.6,1.6,footway,
road,31.1,52.6,27.6,56.9,1.6,footway,
road,9.0,36.6,7.7,34.8,1.6,footway,
road,7.7,34.8,-5.8,15.8,1.6,footway,
road,-5.8,15.8,-8.6,10.5,1.6,footway,
road,-8.6,10.5,-11.1,3.1,1.6,footway,
road,-11.1,3.1,-11.3,0.1,1.6,footway,
road,23.7,64.6,25.4,64.4,1.6,footway,
road,25.4,64.4,27.5,63.3,1.6,footway,
road,27.5,63.3,28.4,62.2,1.6,footway,
road,28.4,62.2,29.2,61.2,1.6,footway,
road,29.2,61.2,29.3,59.2,1.6,footway,
road,29.3,59.2,27.6,56.9,1.6,footway,
road,27.6,56.9,24.2,54.2,1.6,footway,
road,24.2,54.2,22.5,52.2,1.6,footway,
road,22.5,52.2,20.6,50.0,1.6,footway,
road,20.6,50.0,9.0,36.6,1.5,steps,
road,21.8,79.4,21.9,76.3,1.6,footway,
road,21.9,76.3,22.1,72.8,1.6,footway,
road,22.1,72.8,23.7,64.6,1.6,footway,
road,23.7,64.6,17.4,63.4,1.6,footway,
road,17.4,63.4,13.7,62.6,1.6,footway,
road,13.7,62.6,-5.0,58.8,1.5,steps,
road,7.7,34.8,3.8,39.2,1.6,footway,
road,3.8,39.2,1.2,42.6,1.6,footway,
road,1.2,42.6,-0.2,44.8,1.6,footway,
road,-0.2,44.8,-1.1,46.2,1.6,footway,
road,-1.1,46.2,-3.0,49.8,1.6,footway,
road,-3.0,49.8,-4.8,53.8,1.6,footway,
road,-4.8,53.8,-6.1,58.6,1.6,footway,
road,17.4,63.4,17.7,60.0,1.6,footway,
road,17.7,60.0,18.2,58.1,1.6,footway,
road,18.2,58.1,18.8,56.5,1.6,footway,
road,18.8,56.5,19.3,55.4,1.6,footway,
road,19.3,55.4,20.5,53.9,1.6,footway,
road,20.5,53.9,22.5,52.2,1.6,footway,
road,15.7,54.6,0.8,45.5,1.5,steps,
road,0.8,45.5,-0.2,44.8,1.6,footway,
road,18.8,56.5,15.7,54.6,1.6,footway,
road,35.2,66.4,37.2,67.6,1.6,footway,
road,31.2,64.0,28.4,62.2,1.6,footway,
road,55.4,55.5,47.3,51.4,1.6,footway,
road,47.3,51.4,37.7,45.2,1.6,footway,
road,37.7,45.2,28.1,36.2,1.6,footway,
road,28.1,36.2,11.6,17.5,1.6,footway,
road,11.6,17.5,10.8,17.8,1.6,footway,
road,10.8,17.8,7.4,19.1,1.6,footway,
road,-2.9,-23.2,-1.0,-13.1,1.6,footway,
road,-1.0,-13.1,3.1,-2.7,1.6,footway,
road,606.4,-411.4,602.8,-408.5,7.0,tertiary,
road,602.8,-408.5,597.5,-404.7,7.0,tertiary,
road,597.5,-404.7,563.3,-380.7,7.0,tertiary,
road,563.3,-380.7,526.7,-353.8,7.0,tertiary,
road,526.7,-353.8,517.8,-347.5,7.0,tertiary,
road,517.8,-347.5,499.1,-332.5,7.0,tertiary,
road,499.1,-332.5,486.6,-321.5,7.0,tertiary,
road,486.6,-321.5,462.7,-299.0,7.0,tertiary,
road,462.7,-299.0,418.8,-259.2,7.0,tertiary,
road,418.8,-259.2,378.9,-222.1,7.0,tertiary,
road,378.9,-222.1,344.1,-189.0,7.0,tertiary,
road,344.1,-189.0,339.3,-185.1,7.0,tertiary,
road,339.3,-185.1,310.6,-161.6,7.0,tertiary,
road,310.6,-161.6,275.0,-131.7,7.0,tertiary,
road,275.0,-131.7,270.6,-128.0,7.0,tertiary,
road,270.6,-128.0,224.8,-89.5,7.0,tertiary,
road,224.8,-89.5,187.5,-58.6,7.0,tertiary,
road,187.5,-58.6,165.7,-40.2,7.0,tertiary,
road,165.7,-40.2,142.3,-20.5,7.0,tertiary,
road,142.3,-20.5,136.8,-16.0,7.0,tertiary,
road,136.8,-16.0,136.0,-15.3,7.0,tertiary,
road,136.0,-15.3,129.6,-8.9,7.0,tertiary,
road,129.6,-8.9,124.0,-3.0,7.0,tertiary,
road,124.0,-3.0,121.1,1.0,7.0,tertiary,
road,121.1,1.0,117.1,6.2,7.0,tertiary,
road,117.1,6.2,116.2,7.4,7.0,tertiary,
road,116.2,7.4,106.1,21.3,7.0,tertiary,
road,106.1,21.3,102.3,27.5,7.0,tertiary,
road,102.3,27.5,96.4,37.2,7.0,tertiary,
road,96.4,37.2,91.5,47.7,7.0,tertiary,
road,91.5,47.7,89.0,56.9,7.0,tertiary,
road,89.0,56.9,87.0,63.6,7.0,tertiary,
road,87.0,63.6,85.9,70.0,7.0,tertiary,
road,85.9,70.0,81.3,96.9,7.0,tertiary,
road,81.3,96.9,81.1,98.2,7.0,tertiary,
road,81.1,98.2,80.0,104.5,7.0,tertiary,
road,80.0,104.5,79.6,107.9,7.0,tertiary,
road,-66.4,-246.6,-59.7,-237.1,7.0,tertiary,
road,-59.7,-237.1,-54.4,-229.7,7.0,tertiary,
road,-54.4,-229.7,-52.3,-226.6,7.0,tertiary,
road,-52.3,-226.6,-49.8,-221.9,7.0,tertiary,
road,-49.8,-221.9,-47.8,-216.4,7.0,tertiary,
road,-47.8,-216.4,-31.1,-138.1,7.0,tertiary,
road,-31.1,-138.1,-24.6,-106.9,7.0,tertiary,
road,-24.6,-106.9,-7.0,-22.4,7.0,tertiary,
road,-7.0,-22.4,-2.2,-4.0,7.0,tertiary,
road,-2.2,-4.0,-0.2,-0.7,7.0,tertiary,
