type,a,b,c,d,e,f,g
map,1,,,,,,
poi,82.3,61.6,crossing,,,,
poi,87.0,63.6,signal,,,,
poi,85.9,70.0,crossing,,,,
poi,89.0,56.9,crossing,,,,
road,-566.3,184.3,-554.8,185.1,2.0,cycleway,
road,-554.8,185.1,-539.8,185.1,2.0,cycleway,
road,-539.8,185.1,-537.5,185.1,2.0,cycleway,
road,-537.5,185.1,-517.1,183.7,2.0,cycleway,
road,-517.1,183.7,-486.2,181.7,2.0,cycleway,
road,-486.2,181.7,-457.6,177.9,2.0,cycleway,
road,-457.6,177.9,-442.4,175.1,2.0,cycleway,
road,-442.4,175.1,-425.8,171.3,2.0,cycleway,
road,-425.8,171.3,-388.3,160.0,2.0,cycleway,
road,-388.3,160.0,-376.1,155.4,2.0,cycleway,
road,-376.1,155.4,-355.3,147.4,2.0,cycleway,
road,-355.3,147.4,-307.8,127.5,2.0,cycleway,
road,-307.8,127.5,-257.6,107.7,2.0,cycleway,
road,-257.6,107.7,-227.7,96.8,2.0,cycleway,
road,-227.7,96.8,-199.1,87.2,2.0,cycleway,
road,-199.1,87.2,-181.5,82.3,2.0,cycleway,
road,-181.5,82.3,-149.4,75.1,2.0,cycleway,
road,-149.4,75.1,-135.5,72.6,2.0,cycleway,
road,-135.5,72.6,-125.5,71.5,2.0,cycleway,
road,-125.5,71.5,-115.9,71.7,2.0,cycleway,
road,-115.9,71.7,-108.5,72.3,2.0,cycleway,
road,-108.5,72.3,-97.5,73.7,2.0,cycleway,
road,-97.5,73.7,-83.9,75.3,2.0,cycleway,
road,27.6,96.9,42.0,68.9,1.5,steps,
water,2438.9,1036.7,2434.9,1015.1,3.0,,
water,2434.9,1015.1,2422.5,996.5,3.0,,
water,2422.5,996.5,2401.6,975.3,3.0,,
water,2401.6,975.3,2384.1,956.1,3.0,,
water,2384.1,956.1,2337.7,903.6,3.0,,
water,2337.7,903.6,2309.8,875.8,3.0,,
water,2309.8,875.8,2283.2,853.4,3.0,,
water,2283.2,853.4,2260.0,837.7,3.0,,
water,2260.0,837.7,2191.4,792.1,3.0,,
water,2191.4,792.1,2175.3,778.7,3.0,,
water,2175.3,778.7,2131.7,750.1,3.0,,
water,2131.7,750.1,2109.0,740.1,3.0,,
water,2109.0,740.1,2051.6,702.1,3.0,,
water,2051.6,702.1,2002.4,664.1,3.0,,
water,2002.4,664.1,1910.3,601.3,3.0,,
water,1910.3,601.3,1852.6,558.0,3.0,,
water,1852.6,558.0,1786.1,519.1,3.0,,
water,1786.1,519.1,1733.3,481.8,3.0,,
water,1733.3,481.8,1683.1,447.5,3.0,,
water,1683.1,447.5,1570.3,374.0,3.0,,
water,1570.3,374.0,1537.8,354.2,3.0,,
water,1537.8,354.2,1472.8,322.7,3.0,,
water,1472.8,322.7,1462.9,318.9,3.0,,
water,1462.9,318.9,1453.6,315.8,3.0,,
water,1453.6,315.8,1443.8,314.0,3.0,,
water,1443.8,314.0,1420.1,309.4,3.0,,
water,1420.1,309.4,1377.4,297.7,3.0,,
water,1377.4,297.7,1361.9,293.8,3.0,,
water,1361.9,293.8,1331.2,291.4,3.0,,
water,1331.2,291.4,1261.8,289.6,3.0,,
water,1261.8,289.6,1199.0,288.4,3.0,,
water,1199.0,288.4,1142.4,291.7,3.0,,
water,1142.4,291.7,1090.6,291.7,3.0,,
water,1090.6,291.7,1023.4,293.7,3.0,,
water,1023.4,293.7,956.4,298.3,3.0,,
water,956.4,298.3,914.8,303.4,3.0,,
water,914.8,303.4,845.2,306.0,3.0,,
water,845.2,306.0,742.2,312.8,3.0,,
water,742.2,312.8,698.4,310.9,3.0,,
water,698.4,310.9,645.2,305.3,3.0,,
water,645.2,305.3,576.3,296.6,3.0,,
water,576.3,296.6,527.4,284.7,3.0,,
water,527.4,284.7,468.2,269.3,3.0,,
water,468.2,269.3,424.2,252.3,3.0,,
water,424.2,252.3,392.6,238.6,3.0,,
water,392.6,238.6,391.6,239.1,3.0,,
water,391.6,239.1,369.2,232.5,3.0,,
water,369.2,232.5,368.3,231.1,3.0,,
water,368.3,231.1,312.6,215.2,3.0,,
water,312.6,215.2,282.2,208.1,3.0,,
water,282.2,208.1,214.9,192.1,3.0,,
water,214.9,192.1,213.2,191.6,3.0,,
water,213.2,191.6,187.0,184.7,3.0,,
water,187.0,184.7,145.3,174.2,3.0,,
water,145.3,174.2,96.8,164.0,3.0,,
water,96.8,164.0,92.1,162.0,3.0,,
water,92.1,162.0,62.7,156.5,3.0,,
water,62.7,156.5,55.8,155.2,3.0,,
water,55.8,155.2,25.7,149.5,3.0,,
water,25.7,149.5,21.8,144.3,3.0,,
