clip,track,category,frame,trig_az,own_az,own_azdiff,other_track,other_dist,verdict
fold20_room1_mix0736,0,A(強トリガ未成立),,,,,,,
fold20_room1_mix0740,1,A(強トリガ未成立),,,,,,,
fold20_room1_mix0749,0,A(強トリガ未成立),,,,,,,
fold20_room1_mix0753,0,帰属不能トリガのみ(episode監査対象),,,,,,,
fold20_room1_mix0758,1,A(強トリガ未成立),,,,,,,
fold20_room1_mix0767,1,B3(自GT行なしフレームのみで発火),,,,,,,
fold20_room1_mix0770,0,A(強トリガ未成立),,,,,,,
fold20_room1_mix0774,0,B2(他車帰属),47,-120,2,122.0,1,1.20,正当(他所に実在の重大車)
fold20_room1_mix0779,0,A(強トリガ未成立),,,,,,,
fold20_room1_mix0788,1,A(強トリガ未成立),,,,,,,
fold20_room1_mix0788,2,A(強トリガ未成立),,,,,,,
fold20_room1_mix0788,0,A(強トリガ未成立),,,,,,,
fold20_room1_mix0794,1,A(強トリガ未成立),,,,,,,
fold20_room1_mix0799,0,A(強トリガ未成立),,,,,,,
fold20_room1_mix0802,1,A(強トリガ未成立),,,,,,,
fold20_room1_mix0807,0,A(強トリガ未成立),,,,,,,
fold20_room1_mix0812,1,A(強トリガ未成立),,,,,,,
fold20_room1_mix0813,0,B1(±25°内で最近傍負け),77,-172,173,15.0,1,,
fold20_room1_mix0815,0,A(強トリガ未成立),,,,,,,
fold20_room1_mix0817,0,A(強トリガ未成立),,,,,,,
fold20_room1_mix0822,1,A(強トリガ未成立),,,,,,,
fold20_room1_mix0827,1,B1(±25°内で最近傍負け),25,-174,173,13.0,0,,
fold20_room1_mix0830,2,B2(他車帰属),14,174,-2,176.0,1,12.76,スチール(他車は安全域)
fold20_room1_mix0839,1,A(強トリガ未成立),,,,,,,
fold20_room1_mix0842,0,A(強トリガ未成立),,,,,,,
fold20_room1_mix0853,0,A(強トリガ未成立),,,,,,,
fold20_room1_mix0854,0,A(強トリガ未成立),,,,,,,
fold20_room1_mix0861,1,A(強トリガ未成立),,,,,,,
fold20_room1_mix0862,0,A(強トリガ未成立),,,,,,,
fold20_room1_mix0863,0,A(強トリガ未成立),,,,,,,
fold20_room1_mix0871,0,A(強トリガ未成立),,,,,,,
fold20_room1_mix0874,0,A(強トリガ未成立),,,,,,,
fold20_room1_mix0884,0,A(強トリガ未成立),,,,,,,
fold20_room1_mix0887,1,A(強トリガ未成立),,,,,,,
fold20_room1_mix0888,0,A(強トリガ未成立),,,,,,,
fold20_room1_mix0893,0,B2(他車帰属),32,-15,-179,164.0,1,5.31,スチール(他車は安全域)
fold20_room1_mix0894,0,A(強トリガ未成立),,,,,,,
fold20_room1_mix0898,0,A(強トリガ未成立),,,,,,,
fold20_room1_mix0899,1,A(強トリガ未成立),,,,,,,
fold20_room1_mix0910,0,A(強トリガ未成立),,,,,,,
fold20_room1_mix0912,1,A(強トリガ未成立),,,,,,,
fold20_room1_mix0918,0,A(強トリガ未成立),,,,,,,
fold20_room1_mix0938,0,A(強トリガ未成立),,,,,,,
fold20_room1_mix0948,0,A(強トリガ未成立),,,,,,,
fold20_room1_mix0948,2,A(強トリガ未成立),,,,,,,
fold20_room1_mix0957,0,A(強トリガ未成立),,,,,,,
fold20_room1_mix0958,1,B2(他車帰属),63,37,178,141.0,2,1.79,中間(他車は注意域)
fold20_room1_mix0963,0,B3(自GT行なしフレームのみで発火),,,,,,,
fold20_room1_mix0964,0,B2(他車帰属),68,-24,175,161.0,1,2.95,中間(他車は注意域)
fold20_room1_mix0971,0,A(強トリガ未成立),,,,,,,
fold20_room1_mix0981,2,A(強トリガ未成立),,,,,,,
fold20_room1_mix0990,0,A(強トリガ未成立),,,,,,,
fold20_room1_mix0999,0,A(強トリガ未成立),,,,,,,
fold20_room1_mix1003,0,B1(±25°内で最近傍負け),32,-10,6,16.0,1,,
fold20_room1_mix1006,0,A(強トリガ未成立),,,,,,,
fold20_room1_mix1016,0,A(強トリガ未成立),,,,,,,
fold20_room1_mix1018,0,A(強トリガ未成立),,,,,,,
fold20_room1_mix1018,2,A(強トリガ未成立),,,,,,,
fold20_room1_mix1024,1,A(強トリガ未成立),,,,,,,
fold20_room1_mix1033,2,A(強トリガ未成立),,,,,,,
fold20_room1_mix1040,0,A(強トリガ未成立),,,,,,,
fold20_room1_mix1052,0,A(強トリガ未成立),,,,,,,
fold20_room1_mix1054,1,A(強トリガ未成立),,,,,,,
fold20_room1_mix1058,0,A(強トリガ未成立),,,,,,,
fold20_room1_mix1060,1,A(強トリガ未成立),,,,,,,
fold20_room1_mix1061,1,B2(他車帰属),57,-52,-11,41.0,0,1.22,正当(他所に実在の重大車)
fold20_room1_mix1078,1,B1(±25°内で最近傍負け),51,-165,-168,3.0,0,,
fold20_room1_mix1079,1,A(強トリガ未成立),,,,,,,
fold20_room1_mix1083,1,A(強トリガ未成立),,,,,,,
fold20_room1_mix1089,0,A(強トリガ未成立),,,,,,,
fold20_room1_mix1093,2,A(強トリガ未成立),,,,,,,
fold20_room1_mix1095,0,B3(自GT行なしフレームのみで発火),,,,,,,
fold20_room1_mix1099,2,A(強トリガ未成立),,,,,,,
