t_s,obj,class,az_deg,dist_m,vis
1.7,4_2,car,161.1,26.21,1
1.8,4_2,car,160.6,25.56,1
1.9,4_2,car,160.1,24.91,1
2.0,4_2,car,159.5,24.26,1
2.1,4_2,car,158.9,23.61,1
2.2,4_2,car,158.3,22.96,1
2.3,4_2,car,157.6,22.32,1
2.4,4_2,car,156.9,21.69,1
2.5,4_2,car,156.2,21.05,1
2.6,4_2,car,155.4,20.42,1
2.7,4_2,car,154.6,19.79,1
2.8,4_2,car,153.7,19.17,1
2.9,4_2,car,152.7,18.55,1
3.0,4_2,car,151.7,17.94,1
3.1,4_2,car,150.6,17.34,1
3.2,4_2,car,149.4,16.74,1
3.3,4_2,car,148.2,16.15,1
3.4,4_2,car,146.8,15.57,1
3.5,4_2,car,145.4,15.00,1
3.6,4_2,car,143.8,14.44,1
3.7,4_2,car,142.1,13.89,1
3.8,4_2,car,140.3,13.36,1
3.9,4_2,car,138.3,12.84,1
4.0,4_2,car,136.2,12.33,1
4.1,4_2,car,133.8,11.85,1
4.2,4_2,car,131.3,11.39,1
4.3,4_2,car,128.6,10.96,1
4.4,4_2,car,125.6,10.55,1
4.5,4_2,car,122.4,10.17,1
4.6,4_2,car,119.0,9.83,1
4.7,4_2,car,115.3,9.53,1
4.8,4_2,car,111.4,9.26,1
4.9,4_2,car,107.3,9.05,1
5.0,4_2,car,103.0,8.88,1
5.1,4_2,car,98.6,8.77,1
5.2,4_2,car,94.0,8.71,1
5.3,4_2,car,89.4,8.70,1
5.4,4_2,car,84.9,8.75,1
5.5,4_2,car,80.4,8.86,1
5.6,4_2,car,76.0,9.02,1
5.7,4_2,car,71.8,9.22,1
5.8,4_2,car,67.8,9.48,1
5.9,4_2,car,64.0,9.78,1
6.0,4_2,car,60.5,10.11,1
6.1,4_2,car,57.2,10.48,1
6.2,4_2,car,54.1,10.89,1
6.3,4_2,car,51.2,11.32,1
6.4,4_2,car,48.6,11.77,1
6.5,4_2,car,46.1,12.25,1
6.6,4_2,car,43.9,12.75,1
6.7,4_2,car,41.8,13.27,1
6.8,4_2,car,39.9,13.80,1
6.9,4_2,car,38.1,14.35,1
7.0,4_2,car,36.4,14.91,1
7.1,4_2,car,34.9,15.48,1
7.2,4_2,car,33.5,16.05,1
7.3,4_2,car,32.2,16.64,1
7.4,4_2,car,30.9,17.24,1
7.5,4_2,car,29.8,17.84,1
7.6,4_2,car,28.7,18.45,1
7.7,4_2,car,27.7,19.07,1
7.8,4_2,car,26.8,19.69,1
7.9,4_2,car,25.9,20.31,1
8.0,4_2,car,25.1,20.94,1
8.1,4_2,car,24.3,21.58,1
8.2,4_2,car,23.5,22.22,1
8.3,4_2,car,22.8,22.86,1
8.4,4_2,car,22.2,23.50,1
8.5,4_2,car,21.6,24.15,1
8.6,4_2,car,21.0,24.80,1
8.7,4_2,car,20.4,25.45,1
8.8,4_2,car,19.9,26.10,1
8.9,4_2,car,19.4,26.76,1
9.0,4_2,car,18.9,27.42,1
9.1,4_2,car,18.4,28.08,1
9.2,4_2,car,18.0,28.74,1
9.3,4_2,car,17.6,29.40,1
9.4,4_2,car,17.2,30.07,1
9.5,4_2,car,16.8,30.73,1
9.6,4_2,car,16.4,31.40,1
9.7,4_2,car,16.1,32.07,1
9.8,4_2,car,15.7,32.74,1
9.9,4_2,car,15.4,33.41,1
