t_s,obj,class,az_deg,dist_m,vis
8.2,4_1,car,-178.2,23.21,1
8.3,4_1,car,-178.2,23.78,1
8.4,4_1,car,-178.2,24.34,1
8.5,4_1,car,-178.3,24.91,1
8.6,4_1,car,-178.3,25.47,1
8.7,4_1,car,-178.4,26.04,1
8.8,4_1,car,-178.4,26.60,1
8.9,4_1,car,-178.4,27.17,1
9.0,4_1,car,-178.5,27.73,1
9.1,4_1,car,-178.5,28.30,1
9.2,4_1,car,-178.5,28.86,1
9.3,4_1,car,-178.5,29.43,1
9.4,4_1,car,-178.6,29.99,1
9.5,4_1,car,-178.6,30.56,1
9.6,4_1,car,-178.6,31.12,1
9.7,4_1,car,-178.6,31.69,1
9.8,4_1,car,-178.7,32.25,1
9.9,4_1,car,-178.7,32.82,1
0.2,4_2,car,176.7,44.06,1
0.3,4_2,car,176.7,43.41,1
0.4,4_2,car,176.6,42.76,1
0.5,4_2,car,176.5,42.11,1
0.6,4_2,car,176.5,41.47,1
0.7,4_2,car,176.4,40.82,1
0.8,4_2,car,176.4,40.17,1
0.9,4_2,car,176.3,39.52,1
1.0,4_2,car,176.3,38.87,1
1.1,4_2,car,176.2,38.22,1
1.2,4_2,car,176.1,37.57,1
1.3,4_2,car,176.1,36.93,1
1.4,4_2,car,176.0,36.28,1
1.5,4_2,car,175.9,35.63,1
1.6,4_2,car,175.8,34.98,1
1.7,4_2,car,175.8,34.33,1
1.8,4_2,car,175.7,33.69,1
1.9,4_2,car,175.6,33.04,1
2.0,4_2,car,175.5,32.39,1
2.1,4_2,car,175.4,31.74,1
2.2,4_2,car,175.3,31.09,1
2.3,4_2,car,175.2,30.45,1
2.4,4_2,car,175.1,29.80,1
2.5,4_2,car,175.0,29.15,1
2.6,4_2,car,174.9,28.50,1
2.7,4_2,car,174.8,27.86,1
2.8,4_2,car,174.7,27.21,1
2.9,4_2,car,174.5,26.56,1
3.0,4_2,car,174.4,25.92,1
3.1,4_2,car,174.2,25.27,1
3.2,4_2,car,174.1,24.62,1
3.3,4_2,car,173.9,23.98,1
3.4,4_2,car,173.8,23.33,1
3.5,4_2,car,173.6,22.69,1
3.6,4_2,car,173.4,22.04,1
3.7,4_2,car,173.2,21.40,1
3.8,4_2,car,173.0,20.75,1
3.9,4_2,car,172.8,20.11,1
4.0,4_2,car,172.5,19.46,1
4.1,4_2,car,172.3,18.82,1
4.2,4_2,car,172.0,18.17,1
4.3,4_2,car,171.7,17.53,1
4.4,4_2,car,171.4,16.89,1
4.5,4_2,car,171.0,16.25,1
4.6,4_2,car,170.6,15.61,1
4.7,4_2,car,170.2,14.97,1
4.8,4_2,car,169.8,14.33,1
4.9,4_2,car,169.3,13.69,1
5.0,4_2,car,168.8,13.05,1
5.1,4_2,car,168.2,12.42,1
5.2,4_2,car,167.6,11.78,1
5.3,4_2,car,166.8,11.15,1
5.4,4_2,car,166.0,10.52,1
5.5,4_2,car,165.1,9.89,1
5.6,4_2,car,164.1,9.26,1
5.7,4_2,car,162.9,8.64,1
5.8,4_2,car,161.5,8.03,1
5.9,4_2,car,159.9,7.42,1
6.0,4_2,car,158.1,6.81,1
6.1,4_2,car,155.8,6.22,1
6.2,4_2,car,153.1,5.63,1
6.3,4_2,car,149.8,5.07,1
6.4,4_2,car,145.6,4.52,1
6.5,4_2,car,140.3,4.01,1
6.6,4_2,car,133.5,3.55,1
6.7,4_2,car,124.7,3.15,1
6.8,4_2,car,113.7,2.84,1
6.9,4_2,car,100.5,2.66,1
7.0,4_2,car,86.1,2.63,1
7.1,4_2,car,72.3,2.76,1
7.2,4_2,car,60.3,3.03,1
7.3,4_2,car,50.6,3.40,1
7.4,4_2,car,43.0,3.85,1
7.5,4_2,car,37.1,4.34,1
7.6,4_2,car,32.5,4.88,1
7.7,4_2,car,28.8,5.44,1
7.8,4_2,car,25.8,6.02,1
7.9,4_2,car,23.3,6.61,1
8.0,4_2,car,21.3,7.21,1
8.1,4_2,car,19.6,7.82,1
8.2,4_2,car,18.1,8.43,1
8.3,4_2,car,16.8,9.05,1
8.4,4_2,car,15.7,9.68,1
8.5,4_2,car,14.7,10.30,1
8.6,4_2,car,13.8,10.93,1
8.7,4_2,car,13.1,11.56,1
8.8,4_2,car,12.4,12.20,1
8.9,4_2,car,11.8,12.83,1
9.0,4_2,car,11.2,13.47,1
9.1,4_2,car,10.7,14.11,1
9.2,4_2,car,10.2,14.75,1
9.3,4_2,car,9.8,15.39,1
9.4,4_2,car,9.4,16.03,1
9.5,4_2,car,9.0,16.67,1
9.6,4_2,car,8.7,17.31,1
9.7,4_2,car,8.4,17.95,1
9.8,4_2,car,8.1,18.60,1
9.9,4_2,car,7.8,19.24,1
