t_s,obj,class,az_deg,dist_m
6.2,2,car,-19.3,18.95
6.3,2,car,-20.8,17.67
6.4,2,car,-22.5,16.41
6.5,2,car,-24.5,15.16
6.6,2,car,-26.8,13.93
6.7,2,car,-29.6,12.74
6.8,2,car,-33.0,11.58
6.9,2,car,-37.1,10.48
7.0,2,car,-42.1,9.44
7.1,2,car,-48.3,8.50
7.2,2,car,-55.9,7.69
7.3,2,car,-65.2,7.05
7.4,2,car,-76.1,6.64
7.5,2,car,-87.9,6.50
7.6,2,car,-99.9,6.64
7.7,2,car,-110.9,7.05
7.8,2,car,-120.5,7.69
7.9,2,car,-128.5,8.50
8.0,2,car,-135.1,9.44
8.1,2,car,-140.4,10.48
8.2,2,car,-144.7,11.58
8.3,2,car,-148.3,12.74
8.4,2,car,-151.2,13.93
8.5,2,car,-153.7,15.16
8.6,2,car,-155.8,16.41
8.7,2,car,-157.7,17.67
8.8,2,car,-159.2,18.95
8.9,2,car,-160.6,20.24
9.0,2,car,-161.8,21.55
9.1,2,car,-162.9,22.85
9.2,2,car,-163.8,24.17
9.3,2,car,-164.7,25.49
9.4,2,car,-165.5,26.82
9.5,2,car,-166.2,28.15
9.6,2,car,-166.8,29.48
9.7,2,car,-167.4,30.82
9.8,2,car,-167.9,32.16
9.9,2,car,-168.4,33.50
