half,idx,label,strong,crit,caut,safe,safe_ho,lead,lead25,n_fire
0,110,brg13+mn4/6+rc(0.20,15),93.47,98.28,94.72,52.62,4.55,1.80,35.66,1657
0,111,brg13+mn4/6+rc(0.20,15)+link,93.47,98.63,94.99,52.62,4.55,1.80,35.55,1653
0,112,brg13+mn3/5,93.81,97.94,95.25,57.14,4.55,2.00,39.94,1872
0,113,brg13+mn3/5+link,93.81,98.28,95.51,57.14,4.55,2.00,39.81,1870
0,114,brg13+mn3/5+rc(0.05,8),93.81,97.94,95.25,57.14,4.55,2.00,39.94,1872
0,115,brg13+mn3/5+rc(0.05,8)+link,93.81,98.28,95.51,57.14,4.55,2.00,39.81,1870
0,116,brg13+mn3/5+rc(0.05,15),94.16,98.28,94.99,56.90,4.55,2.00,40.71,1852
0,117,brg13+mn3/5+rc(0.05,15)+link,94.16,98.28,95.25,56.90,4.55,2.00,40.65,1849
0,118,brg13+mn3/5+rc(0.10,8),93.81,97.94,95.25,57.38,4.55,2.00,40.25,1866
0,119,brg13+mn3/5+rc(0.10,8)+link,93.81,98.28,95.51,57.38,4.55,2.00,40.12,1864
0,120,brg13+mn3/5+rc(0.10,15),94.85,98.28,95.25,55.48,4.55,2.00,41.58,1814
0,121,brg13+mn3/5+rc(0.10,15)+link,94.50,98.28,95.51,55.48,4.55,2.00,41.51,1811
0,122,brg13+mn3/5+rc(0.20,8),93.81,97.94,94.99,57.14,4.55,2.00,40.16,1856
0,123,brg13+mn3/5+rc(0.20,8)+link,93.81,98.28,95.25,57.14,4.55,2.00,40.03,1854
0,124,brg13+mn3/5+rc(0.20,15),95.53,98.97,96.04,49.05,4.55,2.10,42.02,1804
0,125,brg13+mn3/5+rc(0.20,15)+link,95.53,99.31,96.31,49.05,4.55,2.05,41.90,1801
0,126,ts+brg5+mn4/4,71.13,94.85,88.13,74.76,31.82,1.20,21.64,1529
0,127,ts+brg5+mn4/4+link,71.48,94.85,87.60,74.52,31.82,1.20,21.71,1529
0,128,ts+brg5+mn4/4+rc(0.05,8),71.48,94.85,88.13,74.76,31.82,1.20,21.80,1530
0,129,ts+brg5+mn4/4+rc(0.05,8)+link,71.82,94.85,87.60,74.52,31.82,1.20,21.88,1530
0,130,ts+brg5+mn4/4+rc(0.05,15),73.54,94.85,88.65,74.29,31.82,1.30,23.20,1552
