t_s,obj,class,az_deg,dist_m
3.5,3,train,-87.9,68.60
3.6,3,train,-88.0,66.94
3.7,3,train,-88.0,65.27
3.8,3,train,-88.1,63.61
3.9,3,train,-88.1,61.95
4.0,3,train,-88.2,60.28
4.1,3,train,-88.2,58.62
4.2,3,train,-88.3,56.96
4.3,3,train,-88.4,55.30
4.4,3,train,-88.4,53.64
4.5,3,train,-88.5,51.98
4.6,3,train,-88.6,50.32
4.7,3,train,-88.7,48.66
4.8,3,train,-88.8,47.00
4.9,3,train,-88.9,45.34
5.0,3,train,-89.0,43.69
5.1,3,train,-89.1,42.03
5.2,3,train,-89.2,40.38
5.3,3,train,-89.4,38.73
5.4,3,train,-89.5,37.08
5.5,3,train,-89.7,35.43
5.6,3,train,-89.9,33.78
5.7,3,train,-90.1,32.14
5.8,3,train,-90.3,30.50
5.9,3,train,-90.5,28.86
6.0,3,train,-90.8,27.23
6.1,3,train,-91.1,25.60
6.2,3,train,-91.5,23.98
6.3,3,train,-91.9,22.37
6.4,3,train,-92.4,20.76
6.5,3,train,-92.9,19.17
6.6,3,train,-93.6,17.59
6.7,3,train,-94.4,16.02
6.8,3,train,-95.5,14.49
6.9,3,train,-96.8,12.98
7.0,3,train,-98.5,11.52
7.1,3,train,-100.9,10.13
7.2,3,train,-104.4,8.83
7.3,3,train,-109.8,7.68
7.4,3,train,-119.3,6.75
7.5,3,train,-137.9,6.15
7.6,3,train,-172.8,5.96
7.7,3,train,150.5,6.24
7.8,3,train,130.2,6.91
7.9,3,train,119.9,7.89
8.0,3,train,114.0,9.08
8.1,3,train,110.3,10.40
8.2,3,train,107.7,11.80
8.3,3,train,105.8,13.27
8.4,3,train,104.4,14.79
8.5,3,train,103.3,16.33
8.6,3,train,102.4,17.90
8.7,3,train,101.7,19.48
8.8,3,train,101.1,21.08
8.9,3,train,100.6,22.68
9.0,3,train,100.1,24.30
9.1,3,train,99.8,25.92
9.2,3,train,99.4,27.55
9.3,3,train,99.1,29.19
9.4,3,train,98.9,30.82
9.5,3,train,98.6,32.46
9.6,3,train,98.4,34.11
9.7,3,train,98.2,35.75
9.8,3,train,98.0,37.40
9.9,3,train,97.9,39.05
0.5,4,train,-87.6,138.58
0.6,4,train,-87.6,136.91
0.7,4,train,-87.6,135.24
0.8,4,train,-87.6,133.57
0.9,4,train,-87.6,131.90
1.0,4,train,-87.7,130.24
1.1,4,train,-87.7,128.57
1.2,4,train,-87.7,126.90
1.3,4,train,-87.7,125.23
1.4,4,train,-87.7,123.56
1.5,4,train,-87.8,121.89
1.6,4,train,-87.8,120.22
1.7,4,train,-87.8,118.56
1.8,4,train,-87.8,116.89
1.9,4,train,-87.9,115.22
2.0,4,train,-87.9,113.55
2.1,4,train,-87.9,111.88
2.2,4,train,-87.9,110.22
2.3,4,train,-88.0,108.55
2.4,4,train,-88.0,106.88
2.5,4,train,-88.0,105.21
2.6,4,train,-88.1,103.54
2.7,4,train,-88.1,101.88
2.8,4,train,-88.1,100.21
2.9,4,train,-88.2,98.54
3.0,4,train,-88.2,96.88
3.1,4,train,-88.2,95.21
3.2,4,train,-88.3,93.54
3.3,4,train,-88.3,91.88
3.4,4,train,-88.4,90.21
3.5,4,train,-88.4,88.54
3.6,4,train,-88.4,86.88
3.7,4,train,-88.5,85.21
3.8,4,train,-88.5,83.54
3.9,4,train,-88.6,81.88
4.0,4,train,-88.6,80.21
4.1,4,train,-88.7,78.55
4.2,4,train,-88.7,76.88
4.3,4,train,-88.8,75.22
4.4,4,train,-88.9,73.56
4.5,4,train,-88.9,71.89
4.6,4,train,-89.0,70.23
4.7,4,train,-89.1,68.56
4.8,4,train,-89.1,66.90
4.9,4,train,-89.2,65.24
5.0,4,train,-89.3,63.58
5.1,4,train,-89.4,61.92
5.2,4,train,-89.5,60.25
5.3,4,train,-89.6,58.59
5.4,4,train,-89.7,56.93
5.5,4,train,-89.8,55.27
5.6,4,train,-89.9,53.62
5.7,4,train,-90.0,51.96
5.8,4,train,-90.2,50.30
5.9,4,train,-90.3,48.65
6.0,4,train,-90.5,46.99
6.1,4,train,-90.6,45.34
6.2,4,train,-90.8,43.69
6.3,4,train,-91.0,42.03
6.4,4,train,-91.2,40.39
6.5,4,train,-91.4,38.74
6.6,4,train,-91.6,37.09
6.7,4,train,-91.9,35.45
6.8,4,train,-92.2,33.81
6.9,4,train,-92.5,32.17
7.0,4,train,-92.9,30.54
7.1,4,train,-93.3,28.91
7.2,4,train,-93.7,27.29
7.3,4,train,-94.2,25.67
7.4,4,train,-94.8,24.06
7.5,4,train,-95.5,22.46
7.6,4,train,-96.2,20.87
7.7,4,train,-97.1,19.29
7.8,4,train,-98.2,17.73
7.9,4,train,-99.5,16.20
8.0,4,train,-101.2,14.69
8.1,4,train,-103.2,13.22
8.2,4,train,-105.9,11.80
8.3,4,train,-109.5,10.47
8.4,4,train,-114.5,9.24
8.5,4,train,-122.0,8.16
8.6,4,train,-133.4,7.32
8.7,4,train,-151.0,6.79
8.8,4,train,-175.1,6.65
8.9,4,train,160.9,6.92
9.0,4,train,143.2,7.56
9.1,4,train,131.7,8.48
9.2,4,train,124.1,9.61
9.3,4,train,119.0,10.88
9.4,4,train,115.3,12.25
9.5,4,train,112.5,13.68
9.6,4,train,110.4,15.17
9.7,4,train,108.7,16.68
9.8,4,train,107.3,18.23
9.9,4,train,106.2,19.79
0.5,5,train,-87.9,158.55
0.6,5,train,-87.9,156.88
0.7,5,train,-87.9,155.21
0.8,5,train,-87.9,153.54
0.9,5,train,-88.0,151.87
1.0,5,train,-88.0,150.20
1.1,5,train,-88.0,148.54
1.2,5,train,-88.0,146.87
1.3,5,train,-88.0,145.20
1.4,5,train,-88.1,143.53
1.5,5,train,-88.1,141.86
1.6,5,train,-88.1,140.19
1.7,5,train,-88.1,138.52
1.8,5,train,-88.2,136.86
1.9,5,train,-88.2,135.19
2.0,5,train,-88.2,133.52
2.1,5,train,-88.2,131.85
2.2,5,train,-88.3,130.18
2.3,5,train,-88.3,128.51
2.4,5,train,-88.3,126.85
2.5,5,train,-88.3,125.18
2.6,5,train,-88.4,123.51
2.7,5,train,-88.4,121.84
2.8,5,train,-88.4,120.18
2.9,5,train,-88.5,118.51
3.0,5,train,-88.5,116.84
3.1,5,train,-88.5,115.17
3.2,5,train,-88.6,113.51
3.3,5,train,-88.6,111.84
3.4,5,train,-88.7,110.17
3.5,5,train,-88.7,108.50
3.6,5,train,-88.7,106.84
3.7,5,train,-88.8,105.17
3.8,5,train,-88.8,103.50
3.9,5,train,-88.9,101.84
4.0,5,train,-88.9,100.17
4.1,5,train,-89.0,98.50
4.2,5,train,-89.0,96.84
4.3,5,train,-89.1,95.17
4.4,5,train,-89.1,93.51
4.5,5,train,-89.2,91.84
4.6,5,train,-89.2,90.18
4.7,5,train,-89.3,88.51
4.8,5,train,-89.3,86.85
4.9,5,train,-89.4,85.18
5.0,5,train,-89.5,83.52
5.1,5,train,-89.5,81.85
5.2,5,train,-89.6,80.19
5.3,5,train,-89.7,78.53
5.4,5,train,-89.8,76.86
5.5,5,train,-89.8,75.20
5.6,5,train,-89.9,73.54
5.7,5,train,-90.0,71.88
5.8,5,train,-90.1,70.22
5.9,5,train,-90.2,68.55
6.0,5,train,-90.3,66.89
6.1,5,train,-90.4,65.23
6.2,5,train,-90.5,63.57
6.3,5,train,-90.7,61.92
6.4,5,train,-90.8,60.26
6.5,5,train,-90.9,58.60
6.6,5,train,-91.1,56.94
6.7,5,train,-91.2,55.29
6.8,5,train,-91.4,53.63
6.9,5,train,-91.5,51.98
7.0,5,train,-91.7,50.33
7.1,5,train,-91.9,48.68
7.2,5,train,-92.1,47.02
7.3,5,train,-92.3,45.38
7.4,5,train,-92.6,43.73
7.5,5,train,-92.8,42.08
7.6,5,train,-93.1,40.44
7.7,5,train,-93.4,38.80
7.8,5,train,-93.8,37.16
7.9,5,train,-94.1,35.53
8.0,5,train,-94.5,33.90
8.1,5,train,-95.0,32.27
8.2,5,train,-95.5,30.65
8.3,5,train,-96.0,29.03
8.4,5,train,-96.6,27.42
8.5,5,train,-97.3,25.82
8.6,5,train,-98.1,24.23
8.7,5,train,-99.0,22.64
8.8,5,train,-100.0,21.08
8.9,5,train,-101.3,19.52
9.0,5,train,-102.7,17.99
9.1,5,train,-104.5,16.49
9.2,5,train,-106.6,15.03
9.3,5,train,-109.3,13.61
9.4,5,train,-112.7,12.25
9.5,5,train,-117.2,10.98
9.6,5,train,-123.2,9.83
9.7,5,train,-131.5,8.85
9.8,5,train,-142.8,8.10
9.9,5,train,-158.0,7.65
0.3,6,car,-177.9,66.49
0.4,6,car,-177.9,65.50
0.5,6,car,-177.9,64.51
0.6,6,car,-177.8,63.52
0.7,6,car,-177.8,62.52
0.8,6,car,-177.7,61.53
0.9,6,car,-177.7,60.54
1.0,6,car,-177.7,59.55
1.1,6,car,-177.6,58.56
1.2,6,car,-177.6,57.57
1.3,6,car,-177.5,56.58
1.4,6,car,-177.5,55.59
1.5,6,car,-177.5,54.60
1.6,6,car,-177.4,53.61
1.7,6,car,-177.4,52.62
1.8,6,car,-177.3,51.63
1.9,6,car,-177.3,50.64
2.0,6,car,-177.2,49.65
2.1,6,car,-177.2,48.66
2.2,6,car,-177.1,47.67
