type,a,b,c,d
scene,arterial,walk,1.0,
map,1,,,,,,
poi,85.0,71.6,crossing,,,,
poi,89.7,73.6,signal,,,,
poi,88.6,80.0,crossing,,,,
poi,91.7,66.9,crossing,,,,
poi,-19.5,-11.0,gate,,,,
poi,-8.6,5.9,crossing,,,,
poi,-65.0,-2.2,gate,,,,
poi,6.3,13.8,crossing,,,,
poi,14.7,1.6,gate,,,,
rail,130.2,-42.8,115.3,-24.1,,東武野田線,
rail,115.3,-24.1,97.7,-0.6,,東武野田線,
rail,97.7,-0.6,85.5,17.5,,東武野田線,
rail,85.5,17.5,76.2,33.0,,東武野田線,
rail,76.2,33.0,66.7,52.6,,東武野田線,
rail,66.7,52.6,59.7,68.7,,東武野田線,
rail,59.7,68.7,53.0,89.6,,東武野田線,
rail,53.0,89.6,48.4,105.7,,東武野田線,
road,2.5,9.3,10.8,10.5,5.0,residential,
road,10.8,10.5,70.1,19.1,5.0,residential,
road,70.1,19.1,77.9,5.0,5.0,residential,
road,77.9,5.0,85.4,-7.9,5.0,residential,
road,85.4,-7.9,108.3,-38.0,5.0,residential,
road,108.3,-38.0,129.7,-61.2,5.0,residential,
road,129.7,-61.2,149.4,-84.7,5.0,residential,
road,149.4,-84.7,167.6,-106.9,5.0,residential,
road,167.6,-106.9,216.2,-166.4,5.0,residential,
road,216.2,-166.4,188.5,-251.1,5.0,residential,
road,2.5,9.3,6.3,13.8,5.5,unclassified,
road,6.3,13.8,19.0,28.7,5.5,unclassified,
road,19.0,28.7,26.6,36.7,5.5,unclassified,
rail,48.4,105.7,45.7,116.4,,東武野田線,
rail,45.7,116.4,43.9,125.3,,東武野田線,
rail,43.9,125.3,42.0,136.8,,東武野田線,
rail,42.0,136.8,39.1,157.0,,東武野田線,
rail,39.1,157.0,37.4,173.9,,東武野田線,
rail,37.4,173.9,34.7,200.5,,東武野田線,
road,-1307.1,-24.2,-1294.6,-29.4,2.0,cycleway,
road,-1294.6,-29.4,-1265.9,-41.5,2.0,cycleway,
road,-1265.9,-41.5,-1241.1,-50.5,2.0,cycleway,
road,-1241.1,-50.5,-1218.2,-58.8,2.0,cycleway,
road,-1218.2,-58.8,-1170.0,-70.1,2.0,cycleway,
road,-1170.0,-70.1,-1160.5,-71.2,2.0,cycleway,
road,-1160.5,-71.2,-1109.1,-77.2,2.0,cycleway,
road,-1109.1,-77.2,-1071.9,-77.4,2.0,cycleway,
road,-1071.9,-77.4,-1062.2,-77.4,2.0,cycleway,
road,-1062.2,-77.4,-1015.5,-72.2,2.0,cycleway,
road,-1015.5,-72.2,-969.3,-59.7,2.0,cycleway,
road,-969.3,-59.7,-920.7,-38.1,2.0,cycleway,
road,-920.7,-38.1,-865.2,0.3,2.0,cycleway,
road,-865.2,0.3,-837.3,24.3,2.0,cycleway,
road,-837.3,24.3,-835.0,26.4,2.0,cycleway,
road,-835.0,26.4,-804.8,55.7,2.0,cycleway,
road,-804.8,55.7,-754.5,106.5,2.0,cycleway,
road,-754.5,106.5,-734.7,124.3,2.0,cycleway,
road,-734.7,124.3,-716.3,138.1,2.0,cycleway,
road,-716.3,138.1,-694.4,155.5,2.0,cycleway,
road,-694.4,155.5,-674.6,167.9,2.0,cycleway,
road,-674.6,167.9,-638.2,181.2,2.0,cycleway,
road,-638.2,181.2,-602.8,189.8,2.0,cycleway,
road,-602.8,189.8,-563.6,194.3,2.0,cycleway,
road,-563.6,194.3,-552.1,195.1,2.0,cycleway,
road,-552.1,195.1,-537.1,195.1,2.0,cycleway,
road,-537.1,195.1,-534.8,195.1,2.0,cycleway,
road,-534.8,195.1,-514.4,193.7,2.0,cycleway,
road,-514.4,193.7,-483.5,191.7,2.0,cycleway,
road,-483.5,191.7,-454.9,187.9,2.0,cycleway,
road,-454.9,187.9,-439.7,185.1,2.0,cycleway,
road,-439.7,185.1,-423.1,181.3,2.0,cycleway,
road,-423.1,181.3,-385.6,170.0,2.0,cycleway,
road,-385.6,170.0,-373.4,165.4,2.0,cycleway,
