clip,track,category,frame,trig_az,own_az,own_azdiff,other_track,other_dist,verdict
fold20_room1_mix0914,0,B2(他車帰属),40,-152,3,155.0,2,3.57,スチール(他車は安全域)
fold20_room1_mix0938,0,A(強トリガ未成立),,,,,,,
fold20_room1_mix0948,0,A(強トリガ未成立),,,,,,,
fold20_room1_mix0948,2,A(強トリガ未成立),,,,,,,
fold20_room1_mix0958,2,B2(他車帰属),85,146,173,27.0,1,1.64,中間(他車は注意域)
fold20_room1_mix0963,0,B3(自GT行なしフレームのみで発火),,,,,,,
fold20_room1_mix0981,2,A(強トリガ未成立),,,,,,,
fold20_room1_mix1016,0,A(強トリガ未成立),,,,,,,
fold20_room1_mix1024,1,A(強トリガ未成立),,,,,,,
fold20_room1_mix1061,0,B1(±25°内で最近傍負け),50,-3,-7,4.0,1,,
fold20_room1_mix1064,0,B2(他車帰属),51,-118,-176,58.0,1,1.26,正当(他所に実在の重大車)
fold20_room1_mix1083,1,B2(他車帰属),68,-12,-177,165.0,0,5.76,スチール(他車は安全域)
fold20_room1_mix1089,0,A(強トリガ未成立),,,,,,,
fold20_room1_mix1093,2,A(強トリガ未成立),,,,,,,
fold20_room1_mix1099,1,B3(自GT行なしフレームのみで発火),,,,,,,
fold20_room1_mix1102,1,A(強トリガ未成立),,,,,,,
fold20_room1_mix1118,0,A(強トリガ未成立),,,,,,,
fold20_room1_mix1126,0,A(強トリガ未成立),,,,,,,
fold20_room1_mix1130,1,A(強トリガ未成立),,,,,,,
fold20_room1_mix1135,0,A(強トリガ未成立),,,,,,,
fold20_room1_mix1135,2,A(強トリガ未成立),,,,,,,
fold20_room1_mix1139,1,B2(他車帰属),62,-6,-178,172.0,0,11.18,スチール(他車は安全域)
fold20_room1_mix1150,0,A(強トリガ未成立),,,,,,,
fold20_room1_mix1152,2,A(強トリガ未成立),,,,,,,
fold20_room1_mix1179,0,A(強トリガ未成立),,,,,,,
fold20_room1_mix1180,1,A(強トリガ未成立),,,,,,,
