half,idx,label,strong,crit,caut,safe,lead,lead25,n_fire
0,124,brg13+mn3/5+rc(0.20,15),96.99,98.33,95.92,46.46,2.00,39.55,1834
0,125,brg13+mn3/5+rc(0.20,15)+link,96.99,98.33,95.92,46.46,2.00,39.55,1837
0,126,ts+brg5+mn4/4,80.60,96.66,92.09,73.09,1.00,20.77,1511
0,127,ts+brg5+mn4/4+link,81.61,96.66,91.84,73.09,1.00,20.80,1516
0,128,ts+brg5+mn4/4+rc(0.05,8),81.61,96.66,92.09,73.09,1.00,20.77,1518
0,129,ts+brg5+mn4/4+rc(0.05,8)+link,82.61,96.66,91.84,73.09,1.00,20.80,1523
0,130,ts+brg5+mn4/4+rc(0.05,15),83.61,96.99,92.09,72.52,1.10,22.58,1550
0,131,ts+brg5+mn4/4+rc(0.05,15)+link,84.28,96.99,91.84,72.52,1.10,22.62,1555
0,132,ts+brg5+mn4/4+rc(0.10,8),81.61,96.66,92.09,73.09,1.05,21.38,1524
0,133,ts+brg5+mn4/4+rc(0.10,8)+link,82.61,96.66,91.84,73.09,1.10,21.42,1529
0,134,ts+brg5+mn4/4+rc(0.10,15),86.62,97.32,92.60,69.69,1.20,25.23,1591
0,135,ts+brg5+mn4/4+rc(0.10,15)+link,87.29,97.32,92.35,69.69,1.20,25.27,1595
0,136,ts+brg5+mn4/4+rc(0.20,8),83.95,96.66,92.09,71.95,1.05,21.85,1543
0,137,ts+brg5+mn4/4+rc(0.20,8)+link,84.95,96.66,91.84,71.95,1.10,21.88,1548
0,138,ts+brg5+mn4/4+rc(0.20,15),90.30,97.32,94.64,62.32,1.50,27.79,1663
0,139,ts+brg5+mn4/4+rc(0.20,15)+link,90.64,97.32,94.39,62.32,1.50,27.84,1667
0,140,ts+brg5+mn4/6,82.61,97.32,93.88,71.10,1.30,25.80,1702
0,141,ts+brg5+mn4/6+link,83.28,97.32,93.62,71.10,1.30,25.84,1708
0,142,ts+brg5+mn4/6+rc(0.05,8),83.28,97.32,93.88,71.10,1.30,25.95,1710
0,143,ts+brg5+mn4/6+rc(0.05,8)+link,83.95,97.32,93.62,71.10,1.30,25.99,1716
0,144,ts+brg5+mn4/6+rc(0.05,15),85.62,97.66,93.62,70.25,1.40,27.92,1763
0,145,ts+brg5+mn4/6+rc(0.05,15)+link,85.95,97.66,93.37,70.25,1.40,27.96,1769
0,146,ts+brg5+mn4/6+rc(0.10,8),83.61,97.32,93.88,71.10,1.30,26.25,1721
0,147,ts+brg5+mn4/6+rc(0.10,8)+link,84.28,97.32,93.62,71.10,1.30,26.29,1727
0,148,ts+brg5+mn4/6+rc(0.10,15),88.63,97.99,93.88,67.42,1.50,29.95,1811
0,149,ts+brg5+mn4/6+rc(0.10,15)+link,88.96,97.99,93.62,67.42,1.50,30.00,1816
0,150,ts+brg5+mn4/6+rc(0.20,8),86.62,97.32,93.88,69.97,1.30,26.25,1738
0,151,ts+brg5+mn4/6+rc(0.20,8)+link,87.29,97.32,93.62,69.97,1.30,26.29,1744
0,152,ts+brg5+mn4/6+rc(0.20,15),91.64,97.66,95.66,59.77,1.70,32.53,1878
0,153,ts+brg5+mn4/6+rc(0.20,15)+link,91.97,97.99,95.41,59.77,1.70,32.53,1884
0,154,ts+brg5+mn3/5,89.97,98.33,95.41,62.61,1.70,33.38,1977
0,155,ts+brg5+mn3/5+link,89.30,98.33,95.15,62.61,1.70,33.43,1983
0,156,ts+brg5+mn3/5+rc(0.05,8),90.30,98.33,95.15,62.61,1.70,33.58,1987
0,157,ts+brg5+mn3/5+rc(0.05,8)+link,89.63,98.33,94.90,62.61,1.70,33.63,1993
0,158,ts+brg5+mn3/5+rc(0.05,15),91.64,98.33,94.90,61.47,1.80,35.14,2043
0,159,ts+brg5+mn3/5+rc(0.05,15)+link,91.30,98.33,94.64,61.47,1.80,35.19,2049
